Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Salary
Willy Hernangómez,C,27,NOP,13,0,182,45,71,.634,2,2,1.000,43,69,.623,.648,18,25,.720,32,54,86,22,6,3,14,26,110,28.8,.671,.028,.352,18.5,33.4,25.7,22.0,1.6,1.6,14.6,22.5,0.0,0.8,0.2,0.9,.248,0.0,5.5,0.0,5.5,0.3,2327220.0
Tyler Herro,SG,22,MIA,23,7,764,183,412,.444,62,158,.392,121,254,.476,.519,51,59,.864,18,105,123,87,14,2,73,30,479,15.6,.547,.383,.143,2.7,15.2,9.1,20.0,0.9,0.3,14.3,29.7,0.0,0.2,0.7,0.9,.055,0.0,1.7,-1.7,0.0,0.4,4004280.0
Buddy Hield,SG,29,SAC,25,2,705,129,340,.379,88,249,.353,41,91,.451,.509,41,49,.837,18,85,103,55,16,6,39,52,387,13.5,.535,.732,.144,2.7,12.6,7.7,11.9,1.1,0.7,9.7,24.1,0.0,0.5,0.3,0.8,.053,0.0,1.9,-2.5,-0.6,0.2,22477273.0
George Hill,SG,35,MIL,22,11,600,61,138,.442,22,67,.328,39,71,.549,.522,26,28,.929,20,60,80,55,18,3,23,40,170,10.8,.565,.486,.203,3.5,10.1,6.9,12.6,1.4,0.5,13.3,12.4,0.0,0.7,0.6,1.3,.104,0.0,-1.9,-0.4,-2.3,0.0,4000000.0
George Hill,SG,35,MIL,22,11,600,61,138,.442,22,67,.328,39,71,.549,.522,26,28,.929,20,60,80,55,18,3,23,40,170,10.8,.565,.486,.203,3.5,10.1,6.9,12.6,1.4,0.5,13.3,12.4,0.0,0.7,0.6,1.3,.104,0.0,-1.9,-0.4,-2.3,0.0,4000000.0
Solomon Hill,PF,30,ATL,13,1,139,3,20,.150,2,13,.154,1,7,.143,.200,0,0,0.0,6,17,23,12,4,2,1,16,8,3.4,.200,.650,.000,4.7,12.8,8.9,10.3,1.4,1.3,4.8,6.6,0.0,-0.1,0.1,0.0,-0.001,0.0,-5.3,0.1,-5.2,-0.1,2389641.0
Aaron Holiday,PG,25,WAS,25,7,423,58,130,.446,13,37,.351,45,93,.484,.496,13,17,.765,4,34,38,49,14,8,27,39,142,9.8,.516,.285,.131,1.1,8.4,4.9,17.2,1.7,1.6,16.4,17.4,0.0,-0.1,0.3,0.2,.027,0.0,-3.2,0.1,-3.1,-0.1,3980551.0
Jrue Holiday,PG,31,MIL,20,19,639,132,285,.463,37,102,.363,95,183,.519,.528,21,32,.656,14,81,95,122,26,11,55,42,322,16.7,.538,.358,.112,2.3,12.9,7.7,30.6,2.0,1.7,15.5,23.7,0.0,0.6,0.8,1.4,.107,0.0,0.6,0.1,0.7,0.4,30133333.0
Justin Holiday,SF,32,IND,23,15,647,82,206,.398,55,154,.357,27,52,.519,.532,8,11,.727,6,59,65,38,12,7,21,48,227,9.1,.538,.748,.053,1.0,9.8,5.5,8.2,0.9,0.9,9.1,15.6,0.0,0.3,0.4,0.7,.053,0.0,-1.2,-0.8,-2.0,0.0,6006420.0
Richaun Holmes,C,28,SAC,22,22,596,130,184,.707,2,4,.500,128,180,.711,.712,46,57,.807,59,146,205,30,6,21,31,67,308,22.8,.737,.022,.310,10.5,25.6,18.1,8.1,0.5,3.0,12.9,17.1,0.0,2.2,0.5,2.7,.220,0.0,2.6,-0.6,2.0,0.6,10384500.0
Rodney Hood,SF,29,MIL,19,0,280,18,61,.295,11,40,.275,7,21,.333,.385,10,10,1.000,7,30,37,14,7,1,2,17,57,6.4,.436,.656,.164,2.7,10.9,6.9,6.5,1.2,0.3,3.0,10.3,0.0,0.1,0.3,0.3,.057,0.0,-3.2,-1.0,-4.2,-0.2,2239544.0
Al Horford,C,35,BOS,22,22,647,101,219,.461,29,96,.302,72,123,.585,.527,43,50,.860,35,144,179,78,17,35,25,49,274,19.4,.568,.438,.228,5.8,24.1,14.8,18.7,1.3,5.2,9.4,18.0,0.0,1.4,1.0,2.4,.181,0.0,2.3,2.0,4.4,1.0,27000000.0
Talen Horton-Tucker,SG,21,LAL,12,9,350,49,129,.380,10,44,.227,39,85,.459,.419,21,23,.913,8,54,62,33,12,8,19,40,129,9.6,.464,.341,.178,2.4,16.1,9.4,13.2,1.6,2.1,12.0,19.2,0.0,-0.2,0.4,0.2,.025,0.0,-4.0,-0.8,-4.9,-0.3,9500000.0
Danuel House,SF,28,HOU,16,1,233,25,74,.338,10,34,.294,15,40,.375,.405,17,19,.895,4,39,43,19,5,5,18,16,77,7.2,.467,.459,.257,1.8,17.6,9.8,12.0,1.0,2.0,17.9,18.2,0.0,-0.3,0.2,-0.1,-0.020,0.0,-4.9,-1.2,-6.0,-0.2,3894000.0
Dwight Howard,C,36,LAL,22,1,326,41,64,.641,5,7,.714,36,57,.632,.680,26,42,.619,33,86,119,10,18,15,21,41,113,17.6,.685,.109,.656,10.8,27.5,19.3,4.2,2.6,4.2,20.3,13.5,0.0,0.5,0.6,1.2,.172,0.0,-0.8,1.3,0.5,0.2,2641691.0
Kevin Huerter,SG,23,ATL,24,14,647,102,214,.477,42,107,.393,60,107,.561,.575,11,13,.846,7,74,81,58,8,6,30,44,257,11.9,.585,.500,.061,1.2,12.0,6.7,12.7,0.6,0.8,12.0,16.9,0.0,0.7,0.2,0.9,.067,0.0,-0.6,-1.2,-1.8,0.0,4253357.0
Elijah Hughes,SF,23,UTA,6,0,17,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,1,1,0,0,0,1,2,2,-3.7,.347,.500,1.000,0.0,6.1,3.2,0.0,0.0,0.0,25.8,9.9,0.0,0.0,0.0,0.0,-0.094,0.0,-10.0,-3.0,-13.0,0.0,1517981.0
De'Andre Hunter,SF,24,ATL,11,11,306,50,111,.450,15,38,.395,35,73,.479,.518,4,10,.400,4,26,30,7,7,3,14,32,119,7.6,.516,.342,.090,1.4,8.9,5.3,3.3,1.1,0.9,10.8,18.5,0.0,-0.2,0.1,-0.1,-0.011,0.0,-3.9,-1.6,-5.6,-0.3,7775400.0
Chandler Hutchison,SF,25,PHO,3,0,9,1,1,1.000,0,0,0.0,1,1,1.000,1.000,0,0,0.0,0,4,4,1,0,0,3,1,2,-1.4,1.000,.000,.000,0.0,45.3,23.3,14.5,0.0,0.0,75.0,19.2,0.0,-0.1,0.0,0.0,-0.208,0.0,-12.1,-1.9,-14.0,0.0,0.0
Bones Hyland,PG,21,DEN,16,0,253,42,110,.382,25,73,.342,17,37,.459,.495,20,21,.952,4,25,29,26,12,3,14,26,129,14.6,.541,.664,.191,1.8,11.0,6.4,15.5,2.4,1.1,10.5,23.7,0.0,0.2,0.3,0.5,.089,0.0,-0.8,0.3,-0.5,0.1,2096880.0
Serge Ibaka,C,32,LAC,11,3,154,17,47,.362,8,20,.400,9,27,.333,.447,5,8,.625,12,22,34,13,2,3,6,21,47,9.4,.465,.426,.170,8.4,14.9,11.7,12.0,0.6,1.7,10.6,15.9,0.0,0.0,0.2,0.2,.072,0.0,-3.1,-0.7,-3.8,-0.1,9742000.0
Andre Iguodala,SF,38,GSW,12,0,250,18,43,.419,5,23,.217,13,20,.650,.477,4,6,.667,8,34,42,45,9,10,9,12,45,12.4,.493,.535,.140,3.6,14.1,9.1,23.1,1.7,3.9,16.5,9.4,0.0,0.3,0.5,0.9,.164,0.0,-0.6,2.7,2.1,0.3,2641691.0
Joe Ingles,SF,34,UTA,24,5,591,68,145,.469,48,115,.417,20,30,.667,.634,9,11,.818,11,62,73,79,12,3,26,40,193,12.9,.644,.793,.076,2.2,10.8,6.8,18.0,1.0,0.4,14.8,13.0,0.0,1.3,0.5,1.8,.148,0.0,1.6,0.1,1.7,0.6,14000000.0
Brandon Ingram,SF,24,NOP,20,20,702,168,377,.446,35,97,.361,133,280,.475,.492,80,94,.851,17,109,126,94,11,7,64,45,451,16.8,.539,.257,.249,2.5,17.5,9.8,24.0,0.8,0.9,13.3,29.4,0.0,0.5,0.2,0.7,.049,0.0,1.6,-1.9,-0.3,0.3,29467800.0
Frank Jackson,PG,23,DET,24,2,519,81,201,.403,41,128,.320,40,73,.548,.505,32,38,.842,6,26,32,18,13,5,20,34,235,10.4,.540,.637,.189,1.2,5.9,3.4,5.9,1.2,0.9,8.4,19.7,0.0,0.2,0.2,0.3,.031,0.0,-2.1,-1.4,-3.5,-0.2,3000000.0
Isaiah Jackson,PF,20,IND,6,0,33,4,12,.333,0,0,0.0,4,12,.333,.333,1,2,.500,3,6,9,0,1,1,1,9,9,3.5,.349,.000,.167,10.2,19.6,15.0,0.0,1.5,2.6,7.2,18.3,0.0,-0.1,0.0,0.0,-0.039,0.0,-9.8,-1.8,-11.6,-0.1,2451120.0
Jaren Jackson Jr.,PF,22,MEM,25,25,681,139,326,.426,56,154,.364,83,172,.483,.512,70,84,.833,29,109,138,25,21,50,37,85,404,17.7,.557,.472,.258,4.5,17.4,10.8,5.6,1.5,6.7,9.3,24.6,0.0,0.9,0.7,1.6,.115,0.0,0.3,-0.9,-0.6,0.3,9180560.0
Josh Jackson,SF,24,DET,21,3,390,56,134,.418,18,62,.290,38,72,.528,.485,23,33,.697,11,58,69,35,9,10,23,38,153,11.2,.515,.463,.246,2.9,17.5,9.6,15.1,1.1,2.3,13.4,18.9,0.0,0.0,0.3,0.3,.034,0.0,-2.6,-0.8,-3.4,-0.1,5005350.0
Reggie Jackson,SG,31,LAC,26,26,870,170,437,.389,71,218,.326,99,219,.452,.470,37,47,.787,17,75,92,106,16,3,54,49,448,11.6,.489,.499,.108,2.1,9.0,5.6,19.8,0.9,0.3,10.6,25.5,0.0,-0.2,0.8,0.6,.032,0.0,-1.2,-1.9,-3.1,-0.3,10384500.0
LeBron James,SF,37,LAL,13,13,479,128,261,.490,36,106,.340,92,155,.594,.559,45,60,.750,10,62,72,86,22,8,47,29,337,22.1,.586,.406,.230,2.2,13.5,7.9,30.6,2.2,1.5,14.1,29.7,0.0,0.9,0.5,1.4,.140,0.0,3.9,-0.7,3.2,0.6,41180544.0
Ty Jerome,SG,24,OKC,20,1,276,46,116,.397,20,66,.303,26,50,.520,.483,24,29,.828,6,17,23,23,14,2,10,25,136,14.3,.528,.569,.250,2.2,6.4,4.3,14.1,2.5,0.7,7.2,21.7,0.0,0.3,0.2,0.5,.081,0.0,-1.2,0.1,-1.1,0.1,2412840.0
Isaiah Joe,SG,22,PHI,14,0,136,18,49,.367,13,38,.342,5,11,.455,.500,4,4,1.000,2,15,17,9,2,0,6,11,53,9.0,.522,.776,.082,1.6,12.1,6.9,9.7,0.7,0.0,10.6,18.9,0.0,0.0,0.1,0.1,.022,0.0,-1.7,-2.6,-4.3,-0.1,1517981.0
Alize Johnson,PF,25,CHI,15,0,116,12,23,.522,0,2,.000,12,21,.571,.522,4,7,.571,16,19,35,8,3,0,8,13,28,11.2,.537,.087,.304,15.1,17.9,16.5,9.2,1.3,0.0,23.5,12.9,0.0,0.1,0.1,0.2,.092,0.0,-2.1,-2.5,-4.6,-0.1,1729217.0
Cameron Johnson,PF,25,PHO,24,0,559,80,191,.419,47,118,.398,33,73,.452,.542,21,29,.724,8,72,80,32,18,7,17,35,228,12.1,.559,.618,.152,1.5,13.1,7.5,7.8,1.5,1.1,7.7,17.1,0.0,0.4,0.8,1.2,.103,0.0,-0.2,0.1,-0.2,0.3,4437000.0
Jalen Johnson,PF,20,ATL,7,0,19,5,10,.500,2,4,.500,3,6,.500,.600,2,2,1.000,0,5,5,0,0,0,0,0,14,23.7,.643,.400,.200,0.0,27.6,14.1,0.0,0.0,0.0,0.0,25.0,0.0,0.1,0.0,0.1,.194,0.0,6.1,-2.0,4.1,0.0,2659560.0
James Johnson,PF,34,BRK,16,1,283,34,69,.493,5,15,.333,29,54,.537,.529,6,14,.429,14,44,58,27,6,7,10,40,79,10.6,.526,.217,.203,5.5,15.8,10.8,13.5,1.0,2.2,11.7,13.2,0.0,0.2,0.3,0.6,.095,0.0,-2.5,0.8,-1.8,0.0,2641691.0
Keldon Johnson,SF,22,SAS,23,23,716,128,275,.465,26,64,.406,102,211,.483,.513,49,77,.636,26,121,147,44,22,4,32,39,331,13.6,.536,.233,.280,3.8,18.0,10.8,8.7,1.5,0.5,9.4,20.4,0.0,0.3,0.7,1.1,.072,0.0,-1.3,-1.3,-2.7,-0.1,2145720.0
Keon Johnson,SG,19,LAC,3,0,16,0,4,.000,0,1,.000,0,3,.000,.000,4,4,1.000,1,2,3,2,1,0,1,3,4,6.0,.347,.250,1.000,6.8,13.0,10.0,15.4,3.0,0.0,14.8,18.4,0.0,0.0,0.0,0.0,.007,0.0,-11.3,-1.9,-13.2,0.0,2553120.0
Nikola Jokić,C,26,DEN,19,19,622,197,335,.588,30,83,.361,167,252,.663,.633,75,102,.735,47,207,254,134,22,13,64,48,499,34.0,.657,.248,.304,8.4,37.1,22.7,42.1,1.8,2.0,14.4,32.1,0.0,2.9,1.1,4.0,.307,0.0,9.6,4.7,14.3,2.6,30510423.0
Damian Jones,C,26,SAC,10,0,84,12,17,.706,1,2,.500,11,15,.733,.735,7,11,.636,11,14,25,5,0,3,2,12,32,19.2,.733,.118,.647,13.8,17.4,15.6,8.5,0.0,3.0,8.4,12.0,0.0,0.3,0.0,0.4,.217,0.0,1.2,-0.8,0.4,0.1,1977011.0
Derrick Jones Jr.,PF,24,CHI,22,2,406,58,99,.586,8,25,.320,50,74,.676,.626,30,36,.833,30,47,77,12,12,21,12,52,154,16.7,.670,.253,.364,8.1,12.7,10.4,4.2,1.4,4.6,9.5,13.7,0.0,1.0,0.6,1.6,.190,0.0,0.0,1.0,1.0,0.3,9731707.0
Herb Jones,C,23,NOP,24,15,646,69,145,.476,9,23,.391,60,122,.492,.507,20,26,.769,30,50,80,41,35,20,28,73,167,10.5,.534,.159,.179,4.9,8.7,6.7,9.2,2.7,2.9,15.2,12.2,0.0,0.3,0.5,0.7,.054,0.0,-3.4,0.9,-2.6,-0.1,1700000.0
Kai Jones,C,21,CHO,6,0,8,1,1,1.000,0,0,0.0,1,1,1.000,1.000,0,0,0.0,0,1,1,0,0,0,3,0,2,-7.9,1.000,.000,.000,0.0,13.8,6.7,0.0,0.0,0.0,75.0,21.2,0.0,-0.1,0.0,-0.1,-0.420,0.0,-16.0,-4.2,-20.3,0.0,2770560.0
Tre Jones,PG,22,SAS,21,0,213,34,71,.479,0,5,.000,34,66,.515,.479,11,11,1.000,3,21,24,31,9,0,13,16,79,11.9,.521,.070,.155,1.5,10.5,5.9,20.0,2.0,0.0,14.6,17.9,0.0,0.1,0.2,0.2,.056,0.0,-4.0,-0.4,-4.3,-0.1,1517981.0
Tyus Jones,PG,25,MEM,25,6,478,65,141,.461,22,54,.407,43,87,.494,.539,20,22,.909,5,58,63,103,21,2,18,11,172,17.2,.571,.383,.156,1.1,13.2,7.0,29.6,2.1,0.4,10.7,14.8,0.0,1.2,0.3,1.5,.149,0.0,1.5,-0.3,1.2,0.4,7522200.0
DeAndre Jordan,C,33,LAL,20,16,276,45,64,.703,0,0,0.0,45,64,.703,.703,6,10,.600,34,86,120,8,7,17,16,35,96,18.8,.702,.000,.156,13.2,32.5,23.0,4.2,1.2,5.6,19.0,13.0,0.0,0.5,0.5,1.0,.181,0.0,-0.9,0.0,-0.9,0.1,10517224.0
DeAndre Jordan,C,33,LAL,20,16,276,45,64,.703,0,0,0.0,45,64,.703,.703,6,10,.600,34,86,120,8,7,17,16,35,96,18.8,.702,.000,.156,13.2,32.5,23.0,4.2,1.2,5.6,19.0,13.0,0.0,0.5,0.5,1.0,.181,0.0,-0.9,0.0,-0.9,0.1,10517224.0
Cory Joseph,PG,30,DET,23,4,491,49,115,.426,12,39,.308,37,76,.487,.478,36,43,.837,7,36,43,81,19,5,33,36,146,11.3,.545,.339,.374,1.4,8.6,4.8,25.8,1.9,0.9,19.8,14.6,0.0,0.3,0.3,0.6,.058,0.0,-3.1,-0.1,-3.2,-0.1,7310000.0
Cory Joseph,PG,30,DET,23,4,491,49,115,.426,12,39,.308,37,76,.487,.478,36,43,.837,7,36,43,81,19,5,33,36,146,11.3,.545,.339,.374,1.4,8.6,4.8,25.8,1.9,0.9,19.8,14.6,0.0,0.3,0.3,0.6,.058,0.0,-3.1,-0.1,-3.2,-0.1,7310000.0
Georgios Kalaitzakis,SF,23,MIL,9,0,48,5,11,.455,2,4,.500,3,7,.429,.545,4,9,.444,4,4,8,0,1,1,4,8,16,6.2,.535,.364,.818,8.9,8.5,8.7,0.0,1.0,2.0,21.1,16.9,0.0,0.0,0.0,0.0,.008,0.0,-5.3,-3.4,-8.7,-0.1,462629.0
Frank Kaminsky,C,28,PHO,9,0,181,36,66,.545,5,15,.333,31,51,.608,.583,18,20,.900,11,30,41,13,8,7,5,14,95,22.0,.635,.227,.303,6.6,16.9,11.9,10.6,2.1,3.4,6.3,19.1,0.0,0.6,0.3,0.9,.241,0.0,2.4,1.0,3.4,0.2,2089448.0
Luke Kennard,SG,25,LAC,26,1,728,99,228,.434,67,153,.438,32,75,.427,.581,16,17,.941,6,81,87,46,21,2,21,38,281,12.1,.597,.671,.075,0.9,11.6,6.3,9.4,1.4,0.2,8.2,15.3,0.0,0.9,0.8,1.7,.115,0.0,-0.3,0.1,-0.2,0.3,12727273.0
Corey Kispert,SF,22,WAS,23,0,279,32,78,.410,11,46,.239,21,32,.656,.481,11,14,.786,10,31,41,12,5,3,8,10,86,9.6,.511,.590,.179,4.1,11.6,8.0,6.2,0.9,0.9,8.7,14.8,0.0,0.1,0.2,0.3,.046,0.0,-1.5,-1.3,-2.8,-0.1,3383640.0
Maxi Kleber,PF,30,DAL,15,3,336,37,86,.430,23,62,.371,14,24,.583,.564,12,18,.667,18,61,79,11,7,14,10,33,109,12.8,.580,.721,.209,5.5,20.5,12.7,4.7,1.0,3.7,9.6,13.8,0.0,0.4,0.4,0.8,.112,0.0,-0.6,-0.1,-0.7,0.1,8750000.0
Kevin Knox,SF,22,NYK,6,0,22,2,7,.286,1,4,.250,1,3,.333,.357,1,2,.500,2,0,2,1,0,0,2,2,6,0.6,.381,.571,.286,9.6,0.0,4.9,6.4,0.0,0.0,20.2,19.7,0.0,-0.1,0.0,-0.1,-0.144,0.0,-5.7,-6.0,-11.7,-0.1,5845978.0
John Konchar,SG,25,MEM,23,0,351,37,68,.544,11,26,.423,26,42,.619,.625,4,10,.400,21,61,82,30,17,5,13,26,89,13.6,.615,.382,.147,6.3,18.9,12.5,11.3,2.4,1.3,15.2,10.2,0.0,0.5,0.3,0.8,.112,0.0,-0.6,0.6,-0.1,0.2,2197674.0
Furkan Korkmaz,SG,24,PHI,24,5,543,76,202,.376,37,119,.311,39,83,.470,.468,21,26,.808,7,62,69,59,17,3,24,20,210,11.5,.492,.589,.129,1.4,12.5,7.0,16.2,1.6,0.5,10.1,19.8,0.0,0.0,0.4,0.4,.033,0.0,-0.8,-2.2,-3.1,-0.1,4629630.0
Vit Krejci,SG,21,OKC,3,0,9,0,2,.000,0,2,.000,0,0,0.0,.000,2,2,1.000,0,3,3,0,0,0,1,0,2,-0.9,.347,1.000,1.000,0.0,34.7,17.0,0.0,0.0,0.0,25.8,18.6,0.0,0.0,0.0,0.0,-0.176,0.0,-12.0,-4.3,-16.3,0.0,925258.0
Jonathan Kuminga,SF,19,GSW,15,0,113,20,46,.435,2,15,.133,18,31,.581,.457,9,15,.600,8,18,26,5,5,2,8,17,51,10.6,.485,.326,.326,8.1,16.6,12.5,6.6,2.1,1.7,13.2,23.0,0.0,-0.1,0.2,0.2,.067,0.0,-5.3,-0.4,-5.7,-0.1,5466360.0
Kyle Kuzma,PF,26,WAS,26,26,853,128,301,.425,54,152,.355,74,149,.497,.515,38,56,.679,25,192,217,75,16,18,53,55,348,13.0,.534,.505,.186,3.3,23.5,13.8,13.3,0.9,1.7,14.0,19.9,0.0,0.1,1.0,1.1,.061,0.0,-0.4,0.0,-0.4,0.3,13000000.0
Jeremy Lamb,SF,29,IND,20,0,279,44,113,.389,23,60,.383,21,53,.396,.491,32,32,1.000,7,44,51,22,9,7,12,21,143,16.7,.563,.531,.283,2.8,17.0,10.0,11.5,1.6,2.1,8.6,21.7,0.0,0.5,0.3,0.8,.140,0.0,2.1,-0.1,2.0,0.3,10500000.0
Jock Landale,C,26,SAS,8,0,24,8,10,.800,2,3,.667,6,7,.857,.900,2,3,.667,2,0,2,2,0,1,1,1,20,34.0,.883,.300,.300,8.7,0.0,4.4,15.0,0.0,3.7,8.1,22.0,0.0,0.1,0.0,0.2,.310,0.0,10.4,0.9,11.3,0.1,925258.0
Romeo Langford,SG,22,BOS,20,0,362,36,85,.424,15,36,.417,21,49,.429,.512,9,13,.692,18,42,60,11,9,2,10,26,96,8.8,.529,.424,.153,5.3,12.6,8.9,4.3,1.2,0.5,9.9,12.2,0.0,0.2,0.3,0.5,.066,0.0,-2.6,-0.5,-3.1,-0.1,3804360.0
Zach LaVine,SF,26,CHI,26,26,910,246,505,.487,72,191,.377,174,314,.554,.558,106,125,.848,9,127,136,110,13,9,68,41,670,21.4,.598,.378,.248,1.1,15.3,8.2,20.8,0.7,0.9,10.8,30.3,0.0,2.0,0.9,2.9,.153,0.0,5.1,-1.7,3.4,1.2,19500000.0
Jake Layman,SF,27,MIN,8,0,39,3,11,.273,1,5,.200,2,6,.333,.318,0,0,0.0,1,5,6,0,1,1,2,1,7,1.0,.318,.455,.000,2.5,14.1,8.0,0.0,1.2,2.5,15.4,13.9,0.0,-0.1,0.0,-0.1,-0.101,0.0,-7.9,-3.2,-11.1,-0.1,3940184.0
Damion Lee,SG,29,GSW,19,0,391,59,138,.428,21,64,.328,38,74,.514,.504,22,26,.846,7,53,60,21,7,2,12,27,161,10.7,.539,.464,.188,2.0,14.1,8.3,7.7,0.9,0.5,7.4,17.7,0.0,0.3,0.6,0.9,.112,0.0,-2.4,-1.4,-3.8,-0.2,1910860.0
Saben Lee,PG,22,DET,9,0,114,13,38,.342,4,18,.222,9,20,.450,.395,7,12,.583,1,14,15,14,9,2,6,6,37,10.9,.427,.474,.316,0.9,14.5,7.2,19.6,3.9,1.6,12.2,18.6,0.0,-0.1,0.1,0.0,.009,0.0,-4.1,2.8,-1.3,0.0,1489065.0
Alex Len,C,28,SAC,17,3,278,39,74,.527,6,14,.429,33,60,.550,.568,18,27,.667,15,51,66,16,4,17,20,53,102,12.0,.594,.189,.365,5.7,19.2,12.5,8.2,0.7,5.1,18.9,16.2,0.0,0.2,0.2,0.4,.072,0.0,-4.0,0.1,-3.9,-0.1,3731707.0
Caris LeVert,SG,27,IND,19,19,525,114,269,.424,22,83,.265,92,186,.495,.465,34,43,.791,7,44,51,58,16,10,29,38,284,13.7,.493,.309,.160,1.5,9.1,5.3,17.7,1.5,1.6,9.2,26.3,0.0,0.0,0.4,0.5,.042,0.0,-1.3,-1.1,-2.4,0.0,17500000.0
Kira Lewis Jr.,PG,20,NOP,24,0,341,59,146,.404,13,58,.224,46,88,.523,.449,10,12,.833,9,30,39,49,11,1,26,17,141,10.4,.466,.397,.082,2.8,9.9,6.2,23.0,1.6,0.3,14.7,22.2,0.0,-0.2,0.1,-0.2,-0.023,0.0,-3.0,-2.1,-5.1,-0.3,3822240.0
Damian Lillard,PG,31,POR,20,20,714,146,368,.397,55,182,.302,91,186,.489,.471,82,90,.911,8,71,79,156,13,8,52,28,429,18.3,.526,.495,.245,1.2,11.1,6.1,35.1,0.9,1.1,11.3,28.0,0.0,1.3,0.1,1.4,.092,0.0,2.6,-2.8,-0.2,0.3,39344900.0
Nassir Little,SF,21,POR,22,3,495,70,144,.486,22,67,.328,48,77,.623,.563,30,39,.769,30,88,118,17,16,14,20,46,192,14.8,.596,.465,.271,6.6,19.9,13.1,5.0,1.6,2.7,11.0,15.9,0.0,0.7,0.4,1.1,.104,0.0,-0.6,-0.7,-1.3,0.1,2316240.0
Kevon Looney,C,25,GSW,25,25,443,56,107,.523,0,1,.000,56,106,.528,.523,24,43,.558,60,98,158,28,13,17,16,61,136,15.5,.540,.009,.402,15.4,23.0,19.4,8.7,1.4,3.7,11.3,13.8,0.0,0.8,1.0,1.8,.200,0.0,-1.8,0.2,-1.6,0.1,5178572.0
Brook Lopez,C,33,MIL,1,1,28,3,9,.333,2,4,.500,1,5,.200,.444,0,0,0.0,2,3,5,0,1,3,0,3,8,12.0,.444,.444,.000,7.6,10.9,9.3,0.0,1.7,10.4,0.0,13.8,0.0,0.0,0.1,0.1,.100,0.0,-2.9,-1.8,-4.7,0.0,13302325.0
Robin Lopez,C,33,ORL,9,1,136,27,43,.628,0,1,.000,27,42,.643,.628,11,18,.611,17,9,26,9,0,5,9,14,65,17.8,.638,.023,.419,13.1,7.1,10.1,11.5,0.0,3.4,15.0,18.9,0.0,0.3,0.0,0.3,.113,0.0,0.2,-2.6,-2.4,0.0,5000000.0
Didi Louzada,SF,22,NOP,2,0,7,0,3,.000,0,3,.000,0,0,0.0,.000,0,0,0.0,2,0,2,1,0,0,0,0,0,-1.1,.000,1.000,.000,30.0,0.0,15.5,17.9,0.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,-0.262,0.0,-3.7,-9.6,-13.3,0.0,1786878.0
Kevin Love,PF,33,CLE,18,0,360,64,159,.403,33,89,.371,31,70,.443,.506,37,39,.949,21,104,125,35,4,4,19,19,198,18.9,.562,.560,.245,6.5,30.9,18.9,15.5,0.6,1.0,9.7,23.7,0.0,0.7,0.6,1.3,.173,0.0,3.5,0.2,3.7,0.5,31300000.0
Kyle Lowry,PG,35,MIA,24,24,821,112,264,.424,49,157,.312,63,107,.589,.517,47,54,.870,12,95,107,188,25,8,75,66,320,14.2,.556,.595,.205,1.7,12.8,7.3,34.0,1.5,1.1,20.7,19.6,0.0,1.0,0.8,1.8,.106,0.0,0.2,0.0,0.2,0.5,26984128.0
Timothé Luwawu-Cabarrot,SF,26,ATL,18,4,173,23,57,.404,16,40,.400,7,17,.412,.544,5,6,.833,1,19,20,9,3,3,3,20,67,10.7,.562,.702,.105,0.6,11.5,6.2,7.1,0.9,1.6,4.8,15.8,0.0,0.2,0.1,0.3,.081,0.0,-1.8,-1.5,-3.4,-0.1,1939350.0
Trey Lyles,PF,26,DET,24,0,389,59,146,.404,19,66,.288,40,80,.500,.469,41,52,.788,33,69,102,18,7,4,21,34,178,13.8,.527,.452,.356,8.6,20.9,14.3,7.9,0.9,0.9,11.1,21.0,0.0,0.3,0.2,0.5,.065,0.0,-0.9,-2.3,-3.2,-0.1,2500000.0
Théo Maledon,PG,20,OKC,12,0,155,9,40,.225,3,26,.115,6,14,.429,.263,10,12,.833,5,16,21,12,4,1,14,10,31,1.2,.342,.650,.300,3.2,10.7,6.9,11.1,1.3,0.6,23.6,16.5,0.0,-0.5,0.1,-0.4,-0.130,0.0,-9.0,-2.7,-11.8,-0.4,2000000.0
Terance Mann,SF,25,LAC,25,1,686,89,194,.459,23,68,.338,66,126,.524,.518,36,46,.783,38,94,132,57,16,2,29,58,237,12.1,.553,.351,.237,6.0,14.2,10.2,12.2,1.1,0.3,11.9,15.4,0.0,0.8,0.8,1.6,.113,0.0,-1.7,-0.3,-2.0,0.0,1782621.0
Tre Mann,PG,20,OKC,16,2,246,41,103,.398,14,40,.350,27,63,.429,.466,13,18,.722,7,20,27,5,9,5,13,21,109,9.5,.491,.388,.175,2.9,8.5,5.6,3.4,1.8,1.9,10.5,21.8,0.0,-0.2,0.2,-0.1,-0.013,0.0,-4.0,-2.0,-6.0,-0.2,2901240.0
