Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Salary
Malachi Flynn,PG,23,TOR,17,0,139,17,50,.340,6,24,.250,11,26,.423,.400,3,5,.600,5,17,22,15,8,2,5,14,43,10.0,.412,.480,.100,3.7,14.1,8.6,15.4,2.9,1.4,8.7,17.7,0.0,-0.1,0.1,0.1,.033,0.0,-3.8,1.1,-2.8,0.0,2048040.0
Bryn Forbes,SG,28,SAS,23,0,332,62,132,.470,27,66,.409,35,66,.530,.572,13,16,.813,2,26,28,16,10,1,20,18,164,11.9,.590,.500,.121,0.6,8.3,4.4,6.9,1.4,0.3,12.6,20.5,0.0,0.1,0.2,0.3,.044,0.0,-1.4,-1.3,-2.7,-0.1,4500000.0
Evan Fournier,SG,29,NYK,25,25,707,116,281,.413,63,164,.384,53,117,.453,.525,25,32,.781,11,60,71,42,23,5,33,44,320,12.0,.542,.584,.114,1.7,9.1,5.4,9.4,1.6,0.7,10.1,20.3,0.0,0.4,0.3,0.7,.048,0.0,-0.9,-1.6,-2.5,-0.1,18139535.0
De'Aaron Fox,PG,24,SAC,25,25,870,192,438,.438,29,105,.276,163,333,.489,.471,103,139,.741,13,79,92,133,33,13,72,71,516,15.9,.517,.240,.317,1.6,9.5,5.6,24.6,1.8,1.3,12.6,27.9,0.0,0.5,0.4,0.9,.051,0.0,-0.6,-1.4,-2.0,0.0,28103550.0
Enes Freedom,C,29,BOS,15,0,179,24,53,.453,1,3,.333,23,50,.460,.462,15,18,.833,30,53,83,3,3,9,9,18,64,17.5,.525,.057,.340,17.8,32.0,24.9,2.5,0.8,4.8,12.9,17.1,0.0,0.3,0.3,0.6,.149,0.0,-1.1,-1.4,-2.5,0.0,2641691.0
Daniel Gafford,C,23,WAS,23,23,486,88,133,.662,0,0,0.0,88,133,.662,.662,30,43,.698,48,94,142,23,12,48,25,60,206,21.8,.678,.000,.323,11.2,20.2,15.9,7.5,1.2,8.1,14.1,16.3,0.0,1.2,0.8,2.1,.204,0.0,0.6,2.2,2.8,0.6,1782621.0
Danilo Gallinari,PF,33,ATL,22,0,472,67,161,.416,32,82,.390,35,79,.443,.516,40,43,.930,12,76,88,31,11,5,10,25,206,15.2,.572,.509,.267,2.8,16.9,10.0,9.1,1.2,1.0,5.3,17.6,0.0,1.0,0.3,1.3,.129,0.0,1.3,-0.7,0.6,0.3,20475000.0
Darius Garland,PG,22,CLE,24,24,829,174,370,.470,65,166,.392,109,204,.534,.558,54,61,.885,11,59,70,173,29,2,93,44,467,17.2,.588,.449,.165,1.5,7.6,4.6,35.0,1.7,0.2,19.0,25.9,0.0,1.1,0.9,2.0,.116,0.0,2.3,-1.0,1.3,0.7,7040880.0
Usman Garuba,PF,19,HOU,7,0,45,5,14,.357,2,8,.250,3,6,.500,.429,0,0,0.0,6,12,18,6,2,4,2,4,12,17.4,.429,.571,.000,14.4,28.0,21.3,19.7,2.1,8.3,12.5,15.0,0.0,0.0,0.1,0.1,.128,0.0,0.6,1.8,2.4,0.0,2353320.0
Luka Garza,C,23,DET,14,2,140,18,43,.419,5,15,.333,13,28,.464,.477,11,14,.786,14,17,31,7,6,1,5,24,52,12.9,.529,.349,.326,10.1,14.3,12.1,8.2,2.1,0.7,9.2,16.7,0.0,0.2,0.1,0.3,.098,0.0,-2.5,-0.7,-3.3,0.0,925258.0
Rudy Gay,PF,35,UTA,10,0,192,36,78,.462,23,53,.434,13,25,.520,.609,9,12,.750,9,43,52,12,4,2,10,17,104,18.1,.624,.679,.154,5.5,23.1,14.8,9.3,1.0,0.9,10.7,21.1,0.0,0.5,0.2,0.7,.177,0.0,3.0,-1.0,2.0,0.2,5890000.0
Paul George,SF,31,LAC,24,24,861,220,521,.422,64,201,.318,156,320,.488,.484,95,108,.880,10,165,175,130,45,9,102,62,599,18.0,.527,.386,.207,1.3,19.9,10.8,27.1,2.5,0.9,15.2,33.8,0.0,-0.3,1.6,1.3,.070,0.0,1.7,0.7,2.4,1.0,39344970.0
Taj Gibson,C,36,NYK,12,1,223,15,32,.469,0,3,.000,15,29,.517,.469,7,9,.778,23,33,56,8,4,14,12,38,37,8.8,.514,.094,.281,10.9,15.9,13.4,4.9,0.9,5.9,25.0,9.4,0.0,0.1,0.2,0.3,.057,0.0,-5.7,0.4,-5.3,-0.2,4910000.0
Josh Giddey,SG,19,OKC,22,22,648,96,238,.403,21,76,.276,75,162,.463,.447,19,28,.679,31,116,147,129,21,14,64,40,232,12.8,.463,.319,.118,4.8,18.6,11.6,32.7,1.6,2.1,20.4,20.9,0.0,-0.5,0.7,0.1,.009,0.0,-2.2,-0.2,-2.4,-0.1,5988000.0
Shai Gilgeous-Alexander,PG,23,OKC,21,21,737,155,378,.410,41,138,.297,114,240,.475,.464,108,134,.806,11,89,100,107,21,13,51,43,459,17.8,.525,.365,.354,1.5,12.6,6.9,26.5,1.4,1.7,10.5,28.6,0.0,0.7,0.5,1.2,.080,0.0,1.6,-0.9,0.7,0.5,5495532.0
Anthony Gill,PF,29,WAS,10,0,52,8,11,.727,3,3,1.000,5,8,.625,.864,7,8,.875,5,10,15,2,0,2,2,5,26,24.2,.895,.273,.727,10.9,20.1,15.7,5.9,0.0,3.2,12.1,14.2,0.0,0.3,0.0,0.3,.293,0.0,5.4,0.7,6.2,0.1,1517981.0
Rudy Gobert,C,29,UTA,24,24,764,126,171,.737,0,1,.000,126,170,.741,.737,103,152,.678,71,276,347,23,22,53,45,63,355,24.6,.746,.006,.889,10.9,37.3,24.9,4.4,1.4,5.9,15.9,16.1,0.0,2.6,1.7,4.4,.276,0.0,2.6,2.0,4.6,1.3,35344828.0
Aaron Gordon,PF,26,DEN,24,24,780,126,246,.512,25,72,.347,101,174,.580,.563,51,70,.729,45,94,139,52,16,18,37,52,328,15.4,.592,.293,.285,6.4,13.4,9.9,10.0,1.0,2.2,11.8,18.1,0.0,1.2,0.7,1.9,.118,0.0,0.0,-0.8,-0.8,0.2,16409091.0
Eric Gordon,SG,33,HOU,21,10,622,108,226,.478,48,110,.436,60,116,.517,.584,38,52,.731,4,36,40,57,12,13,52,22,302,12.7,.607,.487,.230,0.7,6.1,3.4,14.9,0.9,2.0,17.3,20.4,0.0,0.3,0.3,0.6,.048,0.0,0.0,-2.0,-2.0,0.0,18218818.0
