Player,Salary,salary_per_cap
Jeremy Lamb,10500000.0,0.09340473606490295
Richaun Holmes,10384500.0,0.09237728396818902
Reggie Jackson,10384500.0,0.09237728396818902
Anthony Edwards,10245480.0,0.0911406052626897
Luka Dončić,10174391.0,0.09050821961677372
Cade Cunningham,10050120.0,0.08940274343053356
Danny Green,10000000.0,0.08895689149038376
Tomáš Satoranský,10000000.0,0.08895689149038376
Kyle Anderson,9937150.0,0.0883977974273667
Serge Ibaka,9742000.0,0.08666180368993186
Derrick Jones Jr.,9731707.0,0.0865702403615208
Jae Crowder,9720900.0,0.08647410464888715
Montrezl Harrell,9720900.0,0.08647410464888715
Tristan Thompson,9720900.0,0.08647410464888715
Derrick Favors,9720900.0,0.08647410464888715
Ja Morant,9603360.0,0.08542850534630918
Reggie Bullock,9536000.0,0.08482929172522995
Alec Burks,9536000.0,0.08482929172522995
Talen Horton-Tucker,9500000.0,0.08450904691586457
Jaren Jackson Jr.,9180560.0,0.08166740797409576
James Wiseman,9166800.0,0.08154500329140499
Nicolas Batum,12213507.0,0.10864756169160425
Dario Šarić,9000000.0,0.08006120234134538
Jalen Green,8992200.0,0.07999181596598288
Nerlens Noel,8800000.0,0.07828206451153771
Jakob Poeltl,8750000.0,0.07783728005408579
Maxi Kleber,8750000.0,0.07783728005408579
Thomas Bryant,8730159.0,0.07766078068567972
Kemba Walker,8729020.0,0.07765064849573897
Royce O'Neale,8678571.0,0.07720186987385913
RJ Barrett,8623920.0,0.07671571156617503
Alex Caruso,8604651.0,0.0765443005319622
Delon Wright,8526316.0,0.07584745672247228
De'Anthony Melton,8437500.0,0.0750573771950113
Daniel Theis,8372093.0,0.07447553685484014
Monte Morris,8333333.0,0.07413073994342342
Trae Young,8326471.0,0.07406969772448271
JaMychal Green,8292683.0,0.073769130179515
LaMelo Ball,8231760.0,0.07322717810948814
Seth Curry,8186047.0,0.07282052947141815
Mason Plumlee,8137500.0,0.07238867045029979
Evan Mobley,8075160.0,0.07183411318874873
Cedi Osman,8050000.0,0.07161029764975893
DeAndre Jordan,10517224.0,0.09355795541480598
De'Andre Hunter,7775400.0,0.06916754140943299
Mo Bamba,7568742.0,0.06732917608127102
Tyus Jones,7522200.0,0.06691515291689647
Ivica Zubac,7518518.0,0.06688239898944971
T.J. McConnell,7500000.0,0.06671766861778781
Patrick Williams,7422000.0,0.06602380486416283
Scottie Barnes,7280520.0,0.06476524276335688
Darius Garland,7040880.0,0.06263347981568132
Juan Hernangómez,7012440.0,0.06238048641628267
Chris Boucher,7009615.0,0.06235535609443663
D.J. Augustin,7000000.0,0.06226982404326863
P.J. Tucker,7000000.0,0.06226982404326863
Zach Collins,6984127.0,0.06212862276940594
Wendell Carter Jr.,6920027.0,0.06155840909495259
Isaac Okoro,6720720.0,0.0597854359777252
Jalen Suggs,6593040.0,0.05864963438717598
Cameron Payne,6500000.0,0.057821979468749445
Joakim Noah,6431666.0,0.057214101446439056
