Player,G,WS,BPM,VORP
Jeff Dowtin,3.0,0.0,-9.9,0.0
PJ Dozier,18.0,0.3,-3.3,-0.1
Goran Dragić,5.0,0.3,0.2,0.1
Andre Drummond,25.0,1.4,-0.4,0.2
Chris Duarte,25.0,0.7,-2.2,0.0
David Duke,1.0,0.0,-4.0,0.0
Kevin Durant,23.0,3.7,6.5,1.8
Anthony Edwards,25.0,1.3,0.6,0.6
Kessler Edwards,2.0,0.0,4.0,0.0
CJ Elleby,14.0,-0.1,-8.0,-0.1
Wayne Ellington,18.0,0.5,-2.1,0.0
Joel Embiid,16.0,2.1,4.7,0.9
Drew Eubanks,23.0,0.9,-1.6,0.0
Tacko Fall,7.0,0.0,-6.6,0.0
Derrick Favors,18.0,0.7,-3.3,-0.1
Bruno Fernando,8.0,0.0,-12.1,0.0
Dorian Finney-Smith,24.0,1.6,0.0,0.4
Malik Fitts,4.0,0.0,-7.6,0.0
Malachi Flynn,17.0,0.1,-2.8,0.0
Bryn Forbes,24.0,0.3,-2.7,-0.1
Trent Forrest,18.0,0.2,-3.1,0.0
Evan Fournier,25.0,0.7,-2.5,-0.1
De'Aaron Fox,25.0,0.9,-2.0,0.0
Enes Freedom,15.0,0.6,-2.5,0.0
Daniel Gafford,23.0,2.1,2.8,0.6
Danilo Gallinari,22.0,1.3,0.6,0.3
Darius Garland,24.0,2.0,1.3,0.7
Marcus Garrett,4.0,0.0,-5.7,0.0
Usman Garuba,7.0,0.1,2.4,0.0
Luka Garza,14.0,0.3,-3.3,0.0
Rudy Gay,11.0,0.8,2.3,0.2
Paul George,24.0,1.3,2.4,1.0
Taj Gibson,12.0,0.3,-5.3,-0.2
Josh Giddey,22.0,0.1,-2.4,-0.1
Shai Gilgeous-Alexander,21.0,1.2,0.7,0.5
Anthony Gill,10.0,0.3,6.2,0.1
Rudy Gobert,25.0,4.6,4.6,1.3
Aaron Gordon,25.0,2.1,-0.5,0.3
Eric Gordon,21.0,0.6,-2.0,0.0
Devonte' Graham,24.0,0.7,-2.3,0.0
Jerami Grant,23.0,1.5,0.8,0.6
Danny Green,19.0,0.8,0.6,0.3
Draymond Green,24.0,2.7,4.0,1.1
Jalen Green,18.0,-0.4,-5.8,-0.5
JaMychal Green,24.0,0.3,-3.7,-0.2
Javonte Green,23.0,1.2,-2.1,0.0
Jeff Green,25.0,1.1,-3.6,-0.2
Josh Green,13.0,0.1,-3.0,0.0
Blake Griffin,18.0,0.4,-3.8,-0.2
Quentin Grimes,13.0,0.1,-3.2,0.0
Tyrese Haliburton,23.0,1.5,2.0,0.7
R.J. Hampton,26.0,-0.1,-3.9,-0.2
Tim Hardaway Jr.,24.0,1.1,-2.2,0.0
James Harden,25.0,2.9,3.7,1.3
Maurice Harkless,16.0,0.1,-4.4,-0.2
Montrezl Harrell,26.0,3.7,5.2,1.3
Gary Harris,20.0,0.0,-5.4,-0.4
