Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Harrison Barnes,3873398.0,0.05533425714285714,66.0,4.9,-1.3,0.3,0.559,12.3,2016
Marreese Speights,3815500.0,0.05450714285714286,72.0,1.8,-3.7,-0.4,0.506,17.1,2016
Alex Len,3807120.0,0.05438742857142857,78.0,1.3,-4.3,-1.0,0.482,12.4,2016
Kyle O'Quinn,3750000.0,0.05357142857142857,65.0,1.6,0.4,0.5,0.52,17.5,2016
Nick Collison,3750000.0,0.05357142857142857,59.0,0.8,-3.1,-0.2,0.498,7.7,2016
Mario Hezonja,3741480.0,0.05344971428571429,79.0,0.9,-3.1,-0.4,0.541,9.4,2016
Terrence Ross,3553917.0,0.05077024285714286,73.0,3.6,0.3,1.0,0.551,12.9,2016
Lavoy Allen,3550000.0,0.05071428571428571,79.0,3.7,-1.6,0.2,0.532,12.4,2016
Matt Barnes,3542500.0,0.05060714285714286,76.0,2.6,-0.9,0.6,0.503,11.7,2016
Will Barton,3533333.0,0.050476185714285714,82.0,4.3,0.8,1.7,0.535,16.0,2016
Nerlens Noel,3457800.0,0.049397142857142855,67.0,3.0,-0.2,0.9,0.544,16.2,2016
Marcus Smart,3431040.0,0.049014857142857145,61.0,2.9,-1.0,0.4,0.463,11.3,2016
Evan Turner,3425510.0,0.04893585714285714,81.0,4.0,0.0,1.1,0.513,13.6,2016
Bojan Bogdanovic,3425510.0,0.04893585714285714,79.0,0.9,-3.5,-0.8,0.55,10.7,2016
Willie Cauley-Stein,3398280.0,0.04854685714285714,66.0,3.8,-0.8,0.4,0.588,15.3,2016
Anthony Morrow,3344000.0,0.04777142857142857,68.0,1.9,-1.1,0.2,0.543,10.7,2016
Mike Scott,3333333.0,0.04761904285714286,75.0,3.2,-0.1,0.6,0.575,14.0,2016
Drew Gooden,3300000.0,0.047142857142857146,30.0,0.0,-6.3,-0.3,0.376,7.5,2016
Andre Drummond,3272090.0,0.04674414285714286,81.0,7.4,1.1,2.0,0.499,21.2,2016
Norris Cole,3203780.0,0.04576828571428571,45.0,-0.1,-3.8,-0.5,0.465,10.8,2016
Ben McLemore,3156600.0,0.04509428571428571,68.0,0.3,-3.8,-0.7,0.531,8.6,2016
Randy Foye,3135000.0,0.04478571428571428,81.0,0.4,-3.3,-0.5,0.461,7.6,2016
Randy Foye,3135000.0,0.04478571428571428,54.0,0.0,-3.7,-0.5,0.457,7.8,2016
Randy Foye,3135000.0,0.04478571428571428,27.0,0.4,-2.3,0.0,0.469,7.1,2016
Julius Randle,3132240.0,0.04474628571428572,81.0,1.6,-3.2,-0.7,0.482,13.9,2016
Austin Rivers,3110796.0,0.04443994285714286,67.0,1.9,-2.7,-0.2,0.523,11.1,2016
Emmanuel Mudiay,3102240.0,0.04431771428571429,68.0,-2.1,-4.2,-1.2,0.437,9.9,2016
Meyers Leonard,3075879.0,0.043941128571428574,61.0,2.2,-1.7,0.1,0.561,11.3,2016
Jeremy Lamb,3034356.0,0.04334794285714286,66.0,2.7,0.8,0.9,0.529,15.9,2016
Anthony Tolliver,3000000.0,0.04285714285714286,72.0,2.8,0.4,0.8,0.543,10.2,2016
Brandon Bass,3000000.0,0.04285714285714286,66.0,4.1,0.6,0.9,0.619,17.4,2016
Jerryd Bayless,3000000.0,0.04285714285714286,52.0,2.4,-0.8,0.4,0.568,12.4,2016
Toney Douglas,2971568.0,0.042450971428571425,61.0,2.5,0.0,0.6,0.543,14.7,2016
John Henson,2943220.0,0.042046,57.0,2.3,0.2,0.5,0.58,18.6,2016
Luis Scola,2900000.0,0.041428571428571426,76.0,3.3,-1.1,0.4,0.523,13.6,2016
Kentavious Caldwell-Pope,2891760.0,0.04131085714285714,76.0,5.3,-0.3,1.2,0.521,12.4,2016
Kirk Hinrich,2870000.0,0.041,46.0,0.6,-3.5,-0.2,0.504,7.2,2016
Kirk Hinrich,2870000.0,0.041,35.0,0.6,-3.6,-0.2,0.528,7.3,2016
Nik Stauskas,2869440.0,0.040992,73.0,0.5,-3.8,-0.8,0.517,9.2,2016
Udonis Haslem,2854940.0,0.040784857142857144,37.0,0.4,-2.6,0.0,0.434,9.1,2016
Brian Roberts,2854940.0,0.040784857142857144,51.0,1.0,-1.6,0.0,0.552,13.8,2016
Brian Roberts,2854940.0,0.040784857142857144,30.0,0.8,-1.4,0.0,0.552,13.9,2016
Dante Cunningham,2850000.0,0.04071428571428572,80.0,2.1,-2.8,-0.4,0.54,8.6,2016
Stanley Johnson,2841960.0,0.04059942857142857,73.0,0.6,-3.3,-0.5,0.46,8.7,2016
Omri Casspi,2836186.0,0.04051694285714286,69.0,3.6,0.1,1.0,0.587,13.9,2016
Darrell Arthur,2814000.0,0.0402,70.0,2.3,-0.8,0.4,0.514,12.5,2016
Kevin Seraphin,2814000.0,0.0402,48.0,-0.2,-3.8,-0.2,0.435,10.8,2016
Sonny Weems,2814000.0,0.0402,43.0,-0.5,-7.3,-0.7,0.459,3.7,2016
Sonny Weems,2814000.0,0.0402,36.0,-0.4,-6.7,-0.5,0.475,4.3,2016
Manu Ginobili,2814000.0,0.0402,58.0,3.8,3.6,1.6,0.573,17.8,2016
Bismack Biyombo,2814000.0,0.0402,82.0,5.9,-0.2,0.8,0.586,14.9,2016
Trey Burke,2658240.0,0.037974857142857144,64.0,2.1,-0.5,0.5,0.507,14.0,2016
Noah Vonleh,2637720.0,0.037681714285714284,78.0,1.2,-4.2,-0.6,0.471,8.6,2016
Tyler Zeller,2616975.0,0.037385357142857144,60.0,1.7,-3.3,-0.2,0.539,15.4,2016
Frank Kaminsky,2612520.0,0.037321714285714284,81.0,3.3,-0.8,0.5,0.513,12.5,2016
CJ McCollum,2525160.0,0.036073714285714285,80.0,6.0,1.3,2.3,0.544,17.7,2016
Elfrid Payton,2505720.0,0.035796,73.0,2.2,-1.2,0.4,0.478,13.9,2016
Leandro Barbosa,2500000.0,0.03571428571428571,68.0,2.1,-2.0,0.0,0.545,11.7,2016
James Johnson,2500000.0,0.03571428571428571,57.0,1.3,-1.0,0.2,0.532,11.4,2016
Terrence Jones,2489529.0,0.0355647,50.0,1.5,-2.1,0.0,0.519,13.5,2016
Justise Winslow,2481720.0,0.03545314285714286,78.0,2.5,-2.6,-0.3,0.489,8.4,2016
Shelvin Mack,2433333.0,0.0347619,52.0,1.3,-1.6,0.1,0.507,13.6,2016
Shelvin Mack,2433333.0,0.0347619,28.0,1.2,-1.3,0.2,0.52,13.2,2016
Michael Carter-Williams,2399040.0,0.034272,54.0,1.2,-0.7,0.5,0.497,13.9,2016
Andrew Nicholson,2380593.0,0.03400847142857143,56.0,1.6,-1.1,0.2,0.567,14.8,2016
Doug McDermott,2380440.0,0.03400628571428571,81.0,2.8,-2.9,-0.4,0.561,10.9,2016
Evan Fournier,2288204.0,0.03268862857142857,79.0,5.7,-0.3,1.1,0.587,14.6,2016
Steven Adams,2279040.0,0.03255771428571429,80.0,6.5,0.2,1.1,0.621,15.5,2016
Myles Turner,2277960.0,0.03254228571428571,60.0,3.1,-1.6,0.1,0.531,15.4,2016
Jared Sullinger,2269260.0,0.032418,81.0,4.8,0.6,1.3,0.476,16.7,2016
Aaron Brooks,2250000.0,0.03214285714285714,69.0,0.9,-2.6,-0.2,0.494,11.8,2016
Trey Lyles,2239800.0,0.031997142857142856,80.0,2.3,-1.8,0.1,0.517,11.6,2016
Ramon Sessions,2170465.0,0.031006642857142858,82.0,3.8,-0.3,0.7,0.565,15.9,2016
Kelly Olynyk,2165160.0,0.030930857142857142,69.0,4.1,1.9,1.4,0.561,16.3,2016
Zach LaVine,2148360.0,0.03069085714285714,82.0,2.6,-1.5,0.3,0.548,14.3,2016
Kendall Marshall,2144772.0,0.0306396,30.0,-0.5,-7.3,-0.5,0.449,6.7,2016
Jeremy Lin,2139000.0,0.030557142857142856,78.0,3.5,-0.9,0.5,0.534,13.8,2016
Gary Neal,2139000.0,0.030557142857142856,40.0,1.4,-1.5,0.1,0.558,13.5,2016
Miles Plumlee,2109293.0,0.030132757142857142,61.0,2.2,-1.5,0.1,0.606,17.4,2016
Steve Blake,2100000.0,0.03,58.0,1.1,-2.4,-0.1,0.51,9.8,2016
Joe Ingles,2100000.0,0.03,81.0,2.3,0.2,0.7,0.572,10.3,2016
Beno Udrih,2080465.0,0.029720928571428572,44.0,0.4,-3.6,-0.3,0.496,9.5,2016
Beno Udrih,2080465.0,0.029720928571428572,36.0,0.4,-4.0,-0.3,0.495,8.9,2016
Shabazz Muhammad,2056920.0,0.02938457142857143,82.0,2.7,-2.5,-0.2,0.548,15.2,2016
Devin Booker,2055840.0,0.029369142857142858,76.0,1.9,-2.8,-0.5,0.535,11.9,2016
Cameron Payne,2021520.0,0.028878857142857144,57.0,1.4,-0.7,0.2,0.49,12.9,2016
Festus Ezeli,2008748.0,0.0286964,46.0,2.7,-0.1,0.4,0.559,17.7,2016
Kent Bazemore,2000000.0,0.02857142857142857,75.0,4.1,0.3,1.2,0.551,13.4,2016
DeJuan Blair,2000000.0,0.02857142857142857,29.0,-0.1,-8.9,-0.4,0.414,5.4,2016
Giannis Antetokounmpo,1953960.0,0.027913714285714285,80.0,7.1,2.1,2.9,0.566,18.8,2016
Adreian Payne,1938840.0,0.027697714285714287,52.0,-0.5,-6.2,-0.5,0.422,5.6,2016
Jusuf Nurkic,1842000.0,0.026314285714285714,32.0,0.4,-2.9,-0.1,0.46,16.0,2016
Lucas Nogueira,1842000.0,0.026314285714285714,29.0,0.7,0.0,0.1,0.642,15.6,2016
Terry Rozier,1824360.0,0.026062285714285715,39.0,-0.3,-6.1,-0.3,0.326,5.0,2016
James Young,1749840.0,0.024997714285714286,29.0,0.1,-4.5,-0.1,0.384,3.6,2016
Rashad Vaughn,1733040.0,0.024757714285714286,70.0,-0.8,-5.7,-0.9,0.398,4.2,2016
Ryan Kelly,1724250.0,0.024632142857142856,36.0,0.1,-3.5,-0.2,0.44,10.3,2016
Joffrey Lauvergne,1709719.0,0.024424557142857142,59.0,2.3,-1.6,0.1,0.567,15.7,2016
Tyler Ennis,1662360.0,0.023748,46.0,0.4,-4.3,-0.4,0.51,10.7,2016
Lance Thomas,1636842.0,0.023383457142857143,59.0,1.7,-3.2,-0.4,0.557,10.4,2016
Sergey Karasev,1599840.0,0.022854857142857142,40.0,0.3,-3.8,-0.2,0.562,8.5,2016
Gary Harris,1587480.0,0.022678285714285713,76.0,4.0,-0.9,0.7,0.566,12.7,2016
Jerian Grant,1572360.0,0.022462285714285716,76.0,0.8,-3.1,-0.3,0.479,11.2,2016
Tony Snell,1535880.0,0.021941142857142857,64.0,0.4,-4.0,-0.6,0.478,6.4,2016
Delon Wright,1509360.0,0.021562285714285714,27.0,0.6,0.9,0.2,0.54,17.8,2016
Shane Larkin,1500000.0,0.02142857142857143,78.0,1.4,-2.0,0.0,0.515,13.3,2016
Wayne Ellington,1500000.0,0.02142857142857143,76.0,0.8,-2.8,-0.3,0.498,10.1,2016
James Jones,1499187.0,0.021416957142857143,48.0,1.2,-0.3,0.2,0.58,11.6,2016
Richard Jefferson,1499187.0,0.021416957142857143,74.0,2.7,-1.2,0.3,0.585,9.7,2016
Charlie Villanueva,1499187.0,0.021416957142857143,62.0,0.2,-2.7,-0.1,0.473,11.9,2016
Jason Terry,1499187.0,0.021416957142857143,72.0,1.5,-1.6,0.1,0.54,10.2,2016
Metta World Peace,1499187.0,0.021416957142857143,35.0,0.1,-3.5,-0.2,0.435,8.3,2016
Tayshaun Prince,1499187.0,0.021416957142857143,77.0,0.4,-3.0,-0.4,0.466,6.3,2016
Kendrick Perkins,1499187.0,0.021416957142857143,37.0,-0.1,-5.0,-0.4,0.529,6.0,2016
Ronnie Price,1499187.0,0.021416957142857143,62.0,1.4,-1.8,0.1,0.517,9.6,2016
Rasual Butler,1499187.0,0.021416957142857143,46.0,1.3,2.9,0.5,0.558,13.4,2016
Matt Bonner,1499187.0,0.021416957142857143,30.0,0.8,2.2,0.2,0.647,14.1,2016
David West,1499187.0,0.021416957142857143,78.0,5.4,2.9,1.7,0.573,17.6,2016
Andre Miller,1490369.0,0.021290985714285716,39.0,1.0,-1.9,0.0,0.6,13.4,2016
Andre Miller,1490369.0,0.021290985714285716,26.0,0.5,-2.2,0.0,0.663,13.7,2016
Gorgui Dieng,1474440.0,0.02106342857142857,82.0,5.9,0.8,1.5,0.601,17.1,2016
Justin Anderson,1449000.0,0.0207,55.0,1.1,0.3,0.4,0.522,12.3,2016
Marcus Thornton,1436891.0,0.020527014285714285,61.0,1.7,-0.5,0.4,0.511,14.7,2016
Marcus Thornton,1436891.0,0.020527014285714285,47.0,1.3,-0.8,0.2,0.512,14.6,2016
Pablo Prigioni,1421348.0,0.02030497142857143,59.0,1.5,-0.4,0.3,0.482,10.2,2016
Mason Plumlee,1415520.0,0.020221714285714287,82.0,6.1,1.5,1.9,0.564,17.2,2016
Andrea Bargnani,1362897.0,0.019469957142857142,46.0,0.2,-5.1,-0.5,0.5,11.8,2016
Gerald Green,1362897.0,0.019469957142857142,69.0,1.7,-3.1,-0.4,0.491,10.1,2016
Solomon Hill,1358880.0,0.01941257142857143,59.0,2.1,0.1,0.5,0.543,12.2,2016
Sasha Vujacic,1356146.0,0.019373514285714287,61.0,1.1,-1.2,0.2,0.503,11.1,2016
Rodney Hood,1348440.0,0.01926342857142857,79.0,6.0,0.7,1.7,0.542,14.1,2016
Matthew Dellavedova,1347276.0,0.0192468,76.0,3.8,-1.2,0.4,0.527,11.3,2016
Bobby Portis,1344120.0,0.019201714285714287,62.0,1.5,-3.3,-0.4,0.469,13.8,2016
Rondae Hollis-Jefferson,1335480.0,0.019078285714285714,29.0,1.2,0.8,0.4,0.519,14.2,2016
Alonzo Gee,1320000.0,0.018857142857142857,73.0,1.9,-2.6,-0.2,0.572,8.4,2016
Nikola Jokic,1300000.0,0.018571428571428572,80.0,6.7,3.9,2.6,0.582,21.5,2016
Shabazz Napier,1294440.0,0.018492,55.0,0.1,-3.0,-0.2,0.46,9.6,2016
Tyus Jones,1282080.0,0.018315428571428573,37.0,0.3,-2.4,-0.1,0.45,11.2,2016
Sasha Kaun,1276000.0,0.018228571428571427,25.0,0.2,-2.8,0.0,0.527,12.5,2016
Brandon Rush,1270964.0,0.018156628571428572,72.0,2.0,-0.8,0.3,0.56,10.1,2016
Luc Mbah a Moute,1270964.0,0.018156628571428572,75.0,1.6,-2.6,-0.2,0.498,7.3,2016
Reggie Bullock,1252400.0,0.017891428571428572,37.0,1.2,0.8,0.3,0.583,12.0,2016
Clint Capela,1242720.0,0.017753142857142856,77.0,4.4,-0.4,0.6,0.553,18.3,2016
Jarell Martin,1230840.0,0.017583428571428573,27.0,0.8,-3.7,-0.2,0.534,14.0,2016
Andre Roberson,1210800.0,0.017297142857142858,70.0,3.4,0.5,1.0,0.566,10.2,2016
Boban Marjanovic,1200000.0,0.017142857142857144,54.0,3.4,4.3,0.8,0.662,27.7,2016
Tyler Hansbrough,1185784.0,0.016939771428571428,44.0,1.0,-3.8,-0.1,0.522,12.5,2016
Jeremy Evans,1185784.0,0.016939771428571428,30.0,0.6,-0.4,0.1,0.62,12.6,2016
Rudy Gobert,1175880.0,0.016798285714285714,61.0,6.4,2.2,2.0,0.582,17.5,2016
Archie Goodwin,1160160.0,0.016573714285714285,57.0,0.1,-3.7,-0.5,0.498,11.1,2016
Damjan Rudez,1149500.0,0.016421428571428573,33.0,0.1,-4.8,-0.2,0.572,5.5,2016
Kyle Anderson,1142880.0,0.016326857142857143,78.0,3.5,1.4,1.1,0.528,12.9,2016
JaKarr Sampson,1103547.0,0.015764957142857142,73.0,0.1,-5.4,-1.0,0.504,8.3,2016
JaKarr Sampson,1103547.0,0.015764957142857142,47.0,-0.3,-6.7,-0.8,0.49,7.7,2016
JaKarr Sampson,1103547.0,0.015764957142857142,26.0,0.4,-3.6,-0.2,0.532,9.3,2016
Cole Aldrich,1100602.0,0.015722885714285713,60.0,3.5,2.4,0.9,0.626,21.3,2016
Wesley Johnson,1100602.0,0.015722885714285713,80.0,2.6,-0.2,0.8,0.513,11.0,2016
Luke Babbitt,1100602.0,0.015722885714285713,47.0,1.1,-2.5,-0.1,0.526,11.6,2016
Garrett Temple,1100602.0,0.015722885714285713,80.0,2.7,-2.1,0.0,0.52,9.3,2016
Glenn Robinson III,1100000.0,0.015714285714285715,45.0,0.8,-1.1,0.1,0.508,11.4,2016
Ray McCallum,1076758.0,0.015382257142857143,41.0,0.3,-3.1,-0.1,0.449,9.1,2016
Ray McCallum,1076758.0,0.015382257142857143,31.0,0.5,-1.7,0.0,0.476,10.3,2016
Richaun Holmes,1075000.0,0.015357142857142857,51.0,1.5,-1.5,0.1,0.564,15.9,2016
Jared Cunningham,1039074.0,0.014843914285714285,44.0,0.1,-5.7,-0.4,0.464,5.9,2016
Jared Cunningham,1039074.0,0.014843914285714285,40.0,0.1,-5.6,-0.3,0.464,5.9,2016
Jon Leuer,1035000.0,0.014785714285714286,67.0,2.7,0.0,0.6,0.555,16.2,2016
Donald Sloan,1015421.0,0.014506014285714285,61.0,2.0,-1.7,0.1,0.536,13.9,2016
E'Twaun Moore,1015421.0,0.014506014285714285,59.0,1.8,-1.9,0.0,0.548,11.4,2016
James Anderson,1015421.0,0.014506014285714285,51.0,-0.3,-4.5,-0.5,0.469,6.0,2016
Montrezl Harrell,1000000.0,0.014285714285714285,39.0,0.9,-0.6,0.1,0.635,14.6,2016
Robert Covington,1000000.0,0.014285714285714285,67.0,2.0,-0.9,0.5,0.543,13.2,2016
Tim Frazier,989216.0,0.014131657142857143,51.0,1.0,-2.0,0.0,0.499,13.9,2016
Tim Frazier,989216.0,0.014131657142857143,35.0,-0.3,-6.8,-0.3,0.383,4.7,2016
Robert Sacre,981358.0,0.0140194,25.0,0.3,-4.6,-0.2,0.474,10.4,2016
John Jenkins,981349.0,0.014019271428571428,43.0,0.2,-2.9,-0.1,0.522,10.0,2016
Thomas Robinson,981348.0,0.014019257142857143,71.0,0.6,-3.8,-0.4,0.453,14.5,2016
Hassan Whiteside,981348.0,0.014019257142857143,73.0,10.3,4.1,3.3,0.629,25.7,2016
Quincy Acy,981348.0,0.014019257142857143,59.0,2.5,-0.1,0.4,0.629,14.7,2016
Mike Muscala,947276.0,0.013532514285714286,60.0,1.6,-0.9,0.2,0.576,13.6,2016
Troy Daniels,947276.0,0.013532514285714286,43.0,1.1,0.7,0.3,0.634,14.9,2016
Justin Holiday,947276.0,0.013532514285714286,53.0,0.6,-3.1,-0.2,0.489,9.4,2016
Justin Holiday,947276.0,0.013532514285714286,26.0,-0.1,-5.6,-0.2,0.407,4.7,2016
Justin Holiday,947276.0,0.013532514285714286,27.0,0.8,-1.9,0.0,0.527,11.8,2016
Ian Clark,947276.0,0.013532514285714286,66.0,0.9,-1.9,0.0,0.544,11.5,2016
Dewayne Dedmon,947276.0,0.013532514285714286,58.0,2.4,-0.9,0.2,0.606,17.0,2016
Isaiah Canaan,947276.0,0.013532514285714286,77.0,1.4,-2.4,-0.2,0.528,11.1,2016
Hollis Thompson,947276.0,0.013532514285714286,77.0,1.2,-3.4,-0.7,0.525,9.2,2016
Allen Crabbe,947276.0,0.013532514285714286,81.0,4.3,-1.0,0.5,0.572,12.2,2016
Seth Curry,947276.0,0.013532514285714286,44.0,1.4,-0.2,0.3,0.603,13.8,2016
Jeff Withey,947276.0,0.013532514285714286,51.0,2.3,1.0,0.5,0.577,17.7,2016
Markel Brown,845059.0,0.012072271428571429,62.0,0.6,-3.0,-0.3,0.5,11.3,2016
Dwight Powell,845059.0,0.012072271428571429,69.0,3.1,0.1,0.5,0.557,16.8,2016
James Michael McAdoo,845059.0,0.012072271428571429,41.0,0.8,-1.8,0.0,0.554,15.9,2016
Tarik Black,845059.0,0.012072271428571429,39.0,0.7,-3.3,-0.2,0.537,12.3,2016
Jordan Clarkson,845059.0,0.012072271428571429,79.0,2.1,-1.6,0.2,0.516,14.3,2016
JaMychal Green,845059.0,0.012072271428571429,78.0,2.6,-2.5,-0.2,0.52,14.6,2016
Tyler Johnson,845059.0,0.012072271428571429,36.0,2.0,0.7,0.6,0.579,13.8,2016
Johnny O'Bryant,845059.0,0.012072271428571429,66.0,0.3,-5.9,-0.8,0.441,7.4,2016
Langston Galloway,845059.0,0.012072271428571429,82.0,3.3,-1.0,0.5,0.49,11.7,2016
Devyn Marble,845059.0,0.012072271428571429,28.0,-0.1,-6.2,-0.3,0.368,5.2,2016
Jerami Grant,845059.0,0.012072271428571429,77.0,2.1,-1.7,0.1,0.506,12.6,2016
Raul Neto,840000.0,0.012,81.0,1.8,-2.0,0.0,0.53,10.2,2016
Kostas Papanikolaou,800320.0,0.011433142857142857,26.0,-0.1,-4.5,-0.2,0.464,6.0,2016
Norman Powell,650000.0,0.009285714285714286,49.0,1.6,-0.3,0.3,0.541,13.3,2016
Pat Connaughton,625093.0,0.0089299,34.0,-0.2,-8.0,-0.2,0.352,4.6,2016
Ryan Hollins,615906.0,0.008798657142857142,37.0,1.0,-3.7,-0.2,0.636,12.3,2016
Ryan Hollins,615906.0,0.008798657142857142,32.0,0.9,-3.5,-0.2,0.641,12.9,2016
Darrun Hilliard,600000.0,0.008571428571428572,38.0,0.5,-2.5,0.0,0.511,10.7,2016
Lamar Patterson,525093.0,0.007501328571428572,35.0,0.2,-5.1,-0.3,0.468,5.1,2016
Willie Reed,525093.0,0.007501328571428572,39.0,1.2,-0.5,0.2,0.579,19.2,2016
Cristiano Felicio,525093.0,0.007501328571428572,31.0,1.2,0.3,0.2,0.601,17.6,2016
Salah Mejri,525093.0,0.007501328571428572,34.0,1.3,0.2,0.2,0.636,16.8,2016
Marcelo Huertas,525093.0,0.007501328571428572,53.0,-0.1,-5.0,-0.7,0.488,10.4,2016
Anthony Brown,525093.0,0.007501328571428572,29.0,-0.3,-5.5,-0.5,0.427,4.9,2016
Josh Richardson,525093.0,0.007501328571428572,52.0,2.5,-0.4,0.5,0.569,11.4,2016
Jonathon Simmons,525093.0,0.007501328571428572,55.0,2.0,-2.7,-0.2,0.586,11.9,2016
Jarell Eddie,349032.0,0.0049861714285714285,26.0,0.1,-1.5,0.0,0.46,11.0,2016
Sean Kilpatrick,320594.0,0.004579914285714286,31.0,1.0,-2.2,0.0,0.576,15.6,2016
LeBron James,30963450.0,0.32889805933526656,74.0,12.9,7.6,6.7,0.619,27.0,2017
Al Horford,26540100.0,0.28191262228737135,68.0,6.3,3.4,3.0,0.553,17.7,2017
Kevin Durant,26540100.0,0.28191262228737135,62.0,12.0,8.9,5.7,0.651,27.6,2017
James Harden,26540100.0,0.28191262228737135,81.0,15.0,8.7,8.0,0.613,27.4,2017
Mike Conley,26540100.0,0.28191262228737135,69.0,10.0,6.8,5.1,0.604,23.2,2017
Russell Westbrook,26540100.0,0.28191262228737135,81.0,13.1,11.1,9.3,0.554,30.6,2017
DeMar DeRozan,26540100.0,0.28191262228737135,74.0,9.0,3.0,3.3,0.552,24.0,2017
Dirk Nowitzki,25000000.0,0.26555346653495215,54.0,2.5,0.8,1.0,0.529,17.0,2017
Carmelo Anthony,24559380.0,0.26087313979796695,74.0,4.7,0.7,1.7,0.535,17.9,2017
Damian Lillard,24328425.0,0.2584199037634237,75.0,10.4,5.0,4.8,0.586,24.1,2017
Dwight Howard,23500000.0,0.24962025854285502,74.0,8.3,1.4,1.9,0.627,20.8,2017
Dwyane Wade,23200000.0,0.24643361694443558,60.0,3.4,2.5,2.1,0.508,18.5,2017
Chris Paul,22868827.0,0.2429158514175244,61.0,10.6,8.7,5.2,0.614,26.2,2017
Harrison Barnes,22116750.0,0.23492718523947612,79.0,4.6,-0.8,0.8,0.541,16.3,2017
Andre Drummond,22116750.0,0.23492718523947612,81.0,6.7,1.0,1.8,0.518,20.9,2017
Chandler Parsons,22116750.0,0.23492718523947612,34.0,0.2,-3.8,-0.3,0.436,7.7,2017
Hassan Whiteside,22116750.0,0.23492718523947612,77.0,9.5,1.5,2.2,0.579,22.6,2017
Anthony Davis,22116750.0,0.23492718523947612,75.0,11.0,5.9,5.4,0.58,27.5,2017
Bradley Beal,22116750.0,0.23492718523947612,77.0,8.5,3.3,3.5,0.604,20.1,2017
Derrick Rose,21323252.0,0.22649853945593407,64.0,3.0,-1.0,0.5,0.53,17.0,2017
Brook Lopez,21165675.0,0.22482473471208694,75.0,4.9,2.3,2.4,0.578,20.4,2017
Kevin Love,21165675.0,0.22482473471208694,60.0,6.4,2.1,1.9,0.573,21.1,2017
DeAndre Jordan,21165675.0,0.22482473471208694,81.0,11.8,3.3,3.5,0.673,21.8,2017
Marc Gasol,21165675.0,0.22482473471208694,74.0,7.7,5.2,4.6,0.554,20.3,2017
Nicolas Batum,20869566.0,0.221679423855199,77.0,4.6,0.8,1.9,0.529,15.8,2017
LaMarcus Aldridge,20575005.0,0.21855055606895893,72.0,7.2,0.8,1.7,0.532,18.6,2017
Blake Griffin,20093064.0,0.21343131194034606,61.0,7.7,4.7,3.5,0.569,22.6,2017
Paul Millsap,20072033.0,0.2132079177421582,69.0,6.4,2.1,2.4,0.542,17.8,2017
Ryan Anderson,18735364.0,0.1990096342797659,72.0,5.2,-0.4,0.9,0.583,13.5,2017
Allen Crabbe,18500000.0,0.1965095652358646,79.0,4.2,-1.3,0.4,0.602,11.6,2017
Paul George,18100000.0,0.19226070977130535,75.0,7.1,3.1,3.4,0.587,20.2,2017
Luol Deng,18000000.0,0.19119849590516555,56.0,0.9,-2.1,0.0,0.47,10.1,2017
Kyrie Irving,17638063.0,0.1873539509044751,72.0,8.9,3.4,3.4,0.58,23.0,2017
Kawhi Leonard,17638063.0,0.1873539509044751,74.0,13.6,9.4,7.1,0.61,27.6,2017
Jimmy Butler,17552209.0,0.18644199781183943,76.0,13.8,7.3,6.6,0.586,25.1,2017
Tobias Harris,17200000.0,0.18270078497604708,82.0,6.8,1.6,2.3,0.568,16.9,2017
Wesley Matthews,17145838.0,0.18212546870186844,73.0,3.1,-0.8,0.8,0.533,11.9,2017
Greg Monroe,17145838.0,0.18212546870186844,81.0,5.6,1.8,1.7,0.572,21.1,2017
Joakim Noah,17000000.0,0.18057635724376747,46.0,2.2,-0.5,0.4,0.491,15.2,2017
Evan Fournier,17000000.0,0.18057635724376747,68.0,2.8,-1.3,0.4,0.555,13.9,2017
Bismack Biyombo,17000000.0,0.18057635724376747,81.0,2.9,-3.2,-0.6,0.546,12.2,2017
Klay Thompson,16663575.0,0.1770028042446066,78.0,7.1,0.8,1.9,0.592,17.4,2017
Evan Turner,16393443.0,0.17413342468372583,65.0,1.2,-2.5,-0.2,0.491,11.4,2017
Gordon Hayward,16073140.0,0.17073112180406402,73.0,10.4,5.0,4.5,0.595,22.2,2017
Timofey Mozgov,16000000.0,0.16995421858236937,54.0,1.1,-4.3,-0.7,0.553,12.3,2017
Ian Mahinmi,16000000.0,0.16995421858236937,31.0,1.4,-1.4,0.1,0.601,14.1,2017
Goran Dragic,15891725.0,0.1688041065188065,73.0,7.5,2.6,2.9,0.575,19.8,2017
DeMarcus Cousins,15756438.0,0.16736706924572192,72.0,7.6,6.8,5.5,0.562,25.8,2017
DeMarcus Cousins,15756438.0,0.16736706924572192,55.0,6.0,7.2,4.4,0.562,26.5,2017
John Wall,15756438.0,0.16736706924572192,78.0,8.8,4.7,4.8,0.541,23.2,2017
Kent Bazemore,15730337.0,0.16708982080452078,73.0,2.1,-1.0,0.5,0.504,11.5,2017
Pau Gasol,15500000.0,0.16464314925167034,64.0,6.4,4.0,2.5,0.578,20.2,2017
Tristan Thompson,15330435.0,0.16284200630955037,78.0,7.3,-0.7,0.7,0.594,15.3,2017
Draymond Green,15330435.0,0.16284200630955037,76.0,8.2,4.9,4.3,0.522,16.5,2017
