Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Mike Miller,9332000.0,0.1479743122175533,52.0,0.4,-3.4,-0.2,0.471,4.6,2015
Tiago Splitter,9250000.0,0.14667406643938793,52.0,4.0,2.3,1.1,0.601,18.9,2015
Jeff Green,9200000.0,0.14588123364782368,78.0,5.2,-0.2,1.2,0.534,14.4,2015
Jeff Green,9200000.0,0.14588123364782368,33.0,2.0,-1.1,0.3,0.539,14.6,2015
Jeff Green,9200000.0,0.14588123364782368,45.0,3.1,0.6,0.9,0.53,14.2,2015
Thaddeus Young,9160870.0,0.14526076270514549,76.0,3.1,-0.1,1.1,0.507,15.7,2015
Thaddeus Young,9160870.0,0.14526076270514549,48.0,1.4,-0.5,0.6,0.491,15.0,2015
Thaddeus Young,9160870.0,0.14526076270514549,28.0,1.6,0.5,0.5,0.539,17.1,2015
Lance Stephenson,9000000.0,0.14270990248156665,61.0,-0.9,-4.5,-1.0,0.419,8.8,2015
Jordan Hill,9000000.0,0.14270990248156665,70.0,2.2,-2.2,-0.1,0.494,16.2,2015
Mike Conley,8760000.0,0.1389043050820582,70.0,6.8,2.8,2.7,0.558,18.6,2015
Monta Ellis,8720000.0,0.1382700388488068,80.0,3.6,-0.1,1.3,0.509,16.5,2015
Marcus Thornton,8697500.0,0.13791326409260288,48.0,1.2,1.2,0.6,0.514,15.0,2015
Marcus Thornton,8697500.0,0.13791326409260288,39.0,1.4,2.0,0.7,0.531,15.8,2015
Trevor Ariza,8600000.0,0.13636724014905258,82.0,6.6,1.0,2.2,0.539,12.7,2015
Channing Frye,8579088.0,0.13603564576230873,75.0,2.1,-1.5,0.2,0.546,9.5,2015
Landry Fields,8500000.0,0.13478157456592404,26.0,0.3,-0.1,0.1,0.527,10.8,2015
Ryan Anderson,8491500.0,0.13464679299135812,61.0,3.5,-0.3,0.7,0.524,15.6,2015
Drew Gooden,8128490.0,0.12889066835804328,51.0,1.7,-1.4,0.1,0.469,11.9,2015
Jeff Teague,8000000.0,0.12685324665028144,73.0,7.7,2.9,2.8,0.566,20.6,2015
Taj Gibson,8000000.0,0.12685324665028144,62.0,4.8,-0.4,0.7,0.545,16.1,2015
Brandon Jennings,8000000.0,0.12685324665028144,41.0,3.3,3.3,1.6,0.522,19.7,2015
George Hill,8000000.0,0.12685324665028144,43.0,5.4,5.3,2.3,0.579,21.5,2015
Boris Diaw,8000000.0,0.12685324665028144,81.0,3.6,-0.4,0.8,0.526,12.7,2015
Dirk Nowitzki,7974482.0,0.12644861650677872,77.0,7.2,2.2,2.4,0.56,19.2,2015
Ersan Ilyasova,7900000.0,0.12526758106715294,58.0,4.0,1.1,1.0,0.554,16.8,2015
Glen Davis,7827985.0,0.12412566399746293,74.0,1.4,-3.1,-0.3,0.495,10.8,2015
Tayshaun Prince,7707865.0,0.12222096249900896,58.0,2.5,-0.6,0.5,0.504,12.0,2015
Tayshaun Prince,7707865.0,0.12222096249900896,26.0,1.0,-1.6,0.1,0.484,10.6,2015
Arron Afflalo,7562500.0,0.11991595972409419,78.0,2.6,-2.5,-0.3,0.533,10.7,2015
Arron Afflalo,7562500.0,0.11991595972409419,53.0,1.8,-1.9,0.1,0.533,11.7,2015
Arron Afflalo,7562500.0,0.11991595972409419,25.0,0.8,-3.8,-0.4,0.533,8.2,2015
Goran Dragic,7500000.0,0.11892491873463887,78.0,6.8,0.8,1.8,0.577,17.4,2015
Goran Dragic,7500000.0,0.11892491873463887,52.0,4.0,0.1,0.9,0.573,16.7,2015
Goran Dragic,7500000.0,0.11892491873463887,26.0,2.8,2.1,0.9,0.586,18.8,2015
Kyrie Irving,7459924.0,0.11828944739554428,75.0,10.4,4.1,4.2,0.583,21.5,2015
Wesley Matthews,7245640.0,0.11489161975739316,60.0,6.2,3.1,2.6,0.586,16.1,2015
