Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Deandre Ayton,C,23,PHO,18,18,556,132,215,.614,1,5,.200,131,210,.624,.616,29,47,.617,54,145,199,27,14,13,32,42,294,20.7,.624,.023,.219,10.5,26.6,18.8,7.6,1.2,2.0,12.0,20.8,0.0,1.2,1.0,2.2,.187,0.0,1.4,-0.1,1.3,0.5
Udoka Azubuike,C,22,UTA,4,0,8,1,1,1.000,0,0,0.0,1,1,1.000,1.000,0,0,0.0,1,3,4,0,0,0,1,0,2,13.2,1.000,.000,.000,14.5,38.9,27.4,0.0,0.0,0.0,50.0,10.9,0.0,0.0,0.0,0.0,.076,0.0,-0.9,-1.2,-2.1,0.0
Marvin Bagley III,PF,22,SAC,9,0,160,22,44,.500,4,15,.267,18,29,.621,.545,11,16,.688,14,39,53,6,1,1,7,9,59,14.0,.578,.341,.364,9.2,25.5,17.4,5.4,0.3,0.5,12.1,15.4,0.0,0.2,0.1,0.3,.101,0.0,-0.4,-1.5,-1.9,0.0
LaMelo Ball,PG,20,CHO,24,24,799,174,416,.418,70,179,.391,104,237,.439,.502,63,70,.900,37,148,185,198,46,10,78,75,481,21.2,.538,.430,.168,4.7,20.3,12.2,37.4,2.7,1.2,14.9,27.7,0.0,1.5,0.7,2.1,.127,0.0,3.7,0.1,3.8,1.2
Lonzo Ball,PG,24,CHI,25,25,879,114,276,.413,75,176,.426,39,100,.390,.549,8,11,.727,25,114,139,123,42,26,58,62,311,13.9,.554,.638,.040,3.1,14.0,8.6,19.3,2.3,2.6,17.1,16.9,0.0,0.6,1.3,1.9,.104,0.0,0.8,0.8,1.6,0.8
Mo Bamba,C,23,ORL,24,24,704,101,221,.457,32,98,.327,69,123,.561,.529,18,25,.720,54,159,213,44,20,52,36,65,252,15.7,.543,.443,.113,8.1,23.9,16.0,10.0,1.4,6.9,13.4,16.4,0.0,0.4,0.9,1.4,.093,0.0,-0.2,0.4,0.2,0.4
Desmond Bane,SF,23,MEM,24,24,690,148,312,.474,62,155,.400,86,157,.548,.574,29,32,.906,14,92,106,48,21,10,38,59,387,16.1,.593,.497,.103,2.1,14.4,8.2,10.6,1.5,1.3,10.4,22.1,0.0,1.1,0.3,1.5,.102,0.0,1.5,-1.9,-0.5,0.3
Dalano Banton,SF,22,TOR,24,0,315,42,88,.477,6,18,.333,36,70,.514,.511,18,24,.750,16,42,58,40,10,5,26,35,108,12.4,.548,.205,.273,5.2,15.4,10.0,18.4,1.6,1.6,20.9,17.0,0.0,0.2,0.2,0.4,.064,0.0,-2.1,-0.1,-2.2,0.0
Harrison Barnes,PF,29,SAC,19,19,665,110,230,.478,37,93,.398,73,137,.533,.559,104,123,.846,26,110,136,46,19,3,39,27,361,18.6,.635,.404,.535,4.1,17.3,10.7,10.4,1.4,0.4,12.1,20.6,0.0,1.7,0.4,2.1,.155,0.0,3.2,-1.2,2.0,0.7
Scottie Barnes,PF,20,TOR,22,22,784,135,276,.489,15,42,.357,120,234,.513,.516,47,65,.723,63,114,177,71,26,17,45,61,332,16.7,.545,.152,.236,8.3,16.8,12.3,13.9,1.7,2.1,12.9,19.1,0.0,1.1,0.7,1.8,.113,0.0,0.4,-0.3,0.0,0.4
RJ Barrett,SF,21,NYK,23,23,720,124,305,.407,42,121,.347,82,184,.446,.475,50,71,.704,15,118,133,48,11,7,39,47,340,11.7,.506,.397,.233,2.2,17.4,9.8,10.6,0.8,0.9,10.4,22.8,0.0,0.0,0.4,0.4,.030,0.0,-1.7,-2.0,-3.6,-0.3
Will Barton,SG,31,DEN,21,21,702,131,294,.446,53,139,.381,78,155,.503,.536,22,31,.710,14,97,111,87,18,9,36,28,337,15.8,.548,.473,.105,2.2,15.2,8.7,19.4,1.3,1.2,10.5,22.0,0.0,0.7,0.6,1.3,.092,0.0,1.6,-0.7,0.9,0.5
Charles Bassey,PF,21,PHI,10,0,81,12,18,.667,0,3,.000,12,15,.800,.667,5,7,.714,10,19,29,2,1,7,3,11,29,20.3,.688,.167,.389,13.5,25.6,19.6,3.7,0.6,7.7,12.5,13.4,0.0,0.2,0.1,0.4,.211,0.0,0.8,0.8,1.6,0.1
Keita Bates-Diop,SF,26,SAS,17,4,236,24,53,.453,1,11,.091,23,42,.548,.462,9,11,.818,12,44,56,6,7,6,12,10,58,8.9,.501,.208,.208,5.3,19.8,12.5,3.2,1.4,2.3,17.2,12.7,0.0,-0.1,0.3,0.2,.033,0.0,-4.6,-0.8,-5.4,-0.2
Nicolas Batum,PF,33,LAC,14,13,386,50,96,.521,32,73,.438,18,23,.783,.688,5,10,.500,7,70,77,21,16,11,11,17,137,15.6,.682,.760,.104,2.0,18.8,10.6,8.0,2.0,2.5,9.9,12.6,0.0,0.7,0.7,1.4,.170,0.0,1.6,2.2,3.7,0.6
Kent Bazemore,SF,32,LAL,18,13,350,27,81,.333,13,43,.302,14,38,.368,.414,10,13,.769,4,31,35,15,16,5,8,42,77,5.5,.444,.531,.160,1.2,9.2,5.3,5.5,2.2,1.3,8.4,11.5,0.0,-0.2,0.3,0.2,.023,0.0,-5.6,-0.4,-5.9,-0.3
Darius Bazley,PF,21,OKC,23,23,630,73,206,.354,22,81,.272,51,125,.408,.408,26,42,.619,22,128,150,31,18,27,34,19,194,9.3,.432,.393,.204,3.5,21.1,12.1,7.7,1.4,4.1,13.2,17.7,0.0,-1.0,0.8,-0.2,-0.016,0.0,-3.8,-0.5,-4.3,-0.4
Bradley Beal,SG,28,WAS,22,22,786,188,430,.437,34,128,.266,154,302,.510,.477,84,97,.866,20,83,103,129,19,7,74,46,494,17.0,.523,.298,.226,2.9,10.9,7.1,28.7,1.2,0.7,13.5,31.2,0.0,0.3,0.6,0.9,.052,0.0,1.1,-1.5,-0.4,0.3
Malik Beasley,SG,25,MIN,24,0,616,93,261,.356,65,194,.335,28,67,.418,.481,16,22,.727,9,65,74,36,15,4,15,29,267,10.4,.493,.743,.084,1.5,11.5,6.2,8.9,1.2,0.6,5.3,19.3,0.0,0.3,0.5,0.8,.061,0.0,-1.0,-1.5,-2.5,-0.1
DeAndre' Bembry,SF,27,BRK,23,8,462,58,101,.574,9,22,.409,49,79,.620,.619,9,19,.474,17,59,76,26,22,12,16,53,134,12.1,.613,.218,.188,4.1,12.9,8.7,8.0,2.3,2.3,12.8,12.0,0.0,0.5,0.7,1.2,.120,0.0,-2.4,1.5,-0.8,0.1
Dāvis Bertāns,PF,29,WAS,15,0,233,23,80,.288,16,64,.250,7,16,.438,.388,14,15,.933,3,21,24,7,4,1,6,25,76,4.7,.439,.800,.188,1.5,9.3,5.6,4.2,0.9,0.3,6.5,17.8,0.0,-0.2,0.1,-0.1,-0.020,0.0,-4.7,-2.7,-7.5,-0.3
Patrick Beverley,PG,33,MIN,16,12,406,49,107,.458,19,56,.339,30,51,.588,.547,12,17,.706,23,47,70,72,14,16,19,50,129,15.5,.563,.523,.159,5.6,12.6,9.0,25.8,1.7,3.8,14.2,13.7,0.0,0.9,0.5,1.3,.157,0.0,0.6,1.3,1.8,0.4
Saddiq Bey,SF,22,DET,23,23,747,105,301,.349,42,144,.292,63,157,.401,.419,34,45,.756,45,96,141,58,23,4,30,39,286,10.5,.446,.478,.150,6.0,15.1,10.2,12.9,1.5,0.5,8.6,20.1,0.0,-0.3,0.5,0.1,.008,0.0,-1.7,-2.0,-3.7,-0.3
