Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Vernon Carey Jr.,C,20,CHO,1,0,1,0,1,.000,0,0,0.0,0,1,.000,.000,0,0,0.0,0,1,1,0,0,0,0,0,0,-27.5,.000,.000,.000,0.0,100.0,52.8,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,0.0,-0.903,0.0,-28.8,-16.4,-45.2,0.0
Jevon Carter,PG,26,BRK,24,1,299,21,74,.284,18,58,.310,3,16,.188,.405,3,4,.750,4,31,35,27,8,7,8,30,63,5.7,.416,.784,.054,1.5,10.4,6.2,11.8,1.3,2.1,9.6,12.4,0.0,-0.2,0.3,0.1,.023,0.0,-4.8,0.2,-4.5,-0.2
Wendell Carter Jr.,C,22,ORL,25,25,722,128,248,.516,35,98,.357,93,150,.620,.587,38,54,.704,53,194,247,55,17,16,33,64,329,18.5,.605,.395,.218,7.7,28.5,18.1,12.9,1.1,2.1,10.8,18.2,0.0,1.4,0.7,2.2,.143,0.0,2.2,-0.4,1.7,0.7
Alex Caruso,SG,27,CHI,23,6,658,65,147,.442,23,69,.333,42,78,.538,.520,42,49,.857,22,64,86,94,51,9,34,61,195,14.8,.578,.469,.333,3.7,10.5,7.1,18.9,3.8,1.2,16.8,13.5,0.0,1.0,1.1,2.1,.152,0.0,-1.0,2.5,1.5,0.6
Willie Cauley-Stein,C,28,DAL,18,2,177,16,35,.457,1,2,.500,15,33,.455,.471,1,2,.500,13,25,38,9,6,3,7,17,34,8.7,.474,.057,.057,7.5,16.1,11.6,7.1,1.7,1.5,16.3,10.8,0.0,0.0,0.2,0.2,.048,0.0,-3.8,-0.7,-4.5,-0.1
Justin Champagnie,SF,20,TOR,10,0,38,3,9,.333,0,1,.000,3,8,.375,.333,4,4,1.000,6,4,10,1,0,1,0,6,10,12.1,.465,.111,.444,16.3,12.2,14.3,3.5,0.0,2.6,0.0,12.1,0.0,0.1,0.0,0.1,.124,0.0,-2.6,-2.5,-5.1,0.0
Chris Chiozza,PG,26,GSW,11,0,124,11,30,.367,9,22,.409,2,8,.250,.517,1,1,1.000,5,11,16,18,5,0,9,15,32,8.3,.526,.733,.033,4.6,9.2,7.0,18.8,1.9,0.0,22.8,13.7,0.0,0.0,0.2,0.3,.098,0.0,-3.2,0.7,-2.5,0.0
Josh Christopher,SG,20,HOU,15,0,112,16,43,.372,4,11,.364,12,32,.375,.419,7,9,.778,4,11,15,12,6,0,10,9,43,8.6,.458,.256,.209,3.8,10.3,7.1,16.6,2.5,0.0,17.6,21.5,0.0,-0.2,0.1,-0.1,-0.028,0.0,-4.7,-1.6,-6.4,-0.1
Brandon Clarke,PF,25,MEM,19,0,304,64,105,.610,1,11,.091,63,94,.670,.614,18,27,.667,33,50,83,26,7,17,8,33,147,22.7,.629,.105,.257,11.4,17.8,14.6,13.0,1.1,5.1,6.4,17.2,0.0,1.1,0.2,1.3,.210,0.0,2.2,-0.7,1.5,0.3
Jordan Clarkson,SG,29,UTA,23,0,570,121,327,.370,60,204,.294,61,123,.496,.462,38,46,.826,16,55,71,47,15,5,30,39,340,13.5,.490,.624,.141,3.3,10.0,6.8,13.0,1.3,0.7,8.0,28.8,0.0,0.2,0.5,0.7,.057,0.0,-0.6,-2.2,-2.8,-0.1
Nicolas Claxton,C,22,BRK,6,3,100,14,24,.583,0,0,0.0,14,24,.583,.583,4,11,.364,5,26,31,4,0,4,5,12,32,10.8,.555,.000,.458,5.5,26.2,16.3,5.8,0.0,3.6,14.8,14.9,0.0,0.0,0.1,0.2,.075,0.0,-4.7,-0.7,-5.4,-0.1
Amir Coffey,SG,24,LAC,16,3,207,14,40,.350,10,30,.333,4,10,.400,.475,17,19,.895,3,23,26,11,1,2,5,13,55,8.1,.569,.750,.475,1.6,11.5,6.6,7.2,0.2,0.8,9.4,11.2,0.0,0.2,0.2,0.4,.094,0.0,-2.3,-0.2,-2.6,0.0
John Collins,PF,24,ATL,25,25,807,164,292,.562,31,75,.413,133,217,.613,.615,65,83,.783,43,153,196,54,18,34,27,72,424,21.4,.645,.257,.284,5.8,19.9,13.0,10.1,1.1,3.9,7.6,19.3,0.0,2.6,0.7,3.4,.200,0.0,2.6,0.2,2.8,1.0
Mike Conley,PG,34,UTA,21,21,598,107,210,.510,57,120,.475,50,90,.556,.645,28,33,.848,6,35,41,114,25,6,38,43,299,19.7,.666,.571,.157,1.2,6.1,3.8,28.5,2.1,0.8,14.5,19.1,0.0,2.1,0.6,2.7,.217,0.0,3.7,0.3,4.0,0.9
Pat Connaughton,SG,29,MIL,25,10,721,110,221,.498,69,161,.429,41,60,.683,.654,19,25,.760,21,100,121,36,23,8,21,36,308,15.8,.664,.729,.113,3.1,13.9,8.7,7.3,1.5,1.1,8.3,15.0,0.0,1.6,0.9,2.5,.165,0.0,2.1,-0.2,1.9,0.7
Tyler Cook,PF,24,CHI,1,0,12,2,3,.667,0,0,0.0,2,3,.667,.667,2,2,1.000,0,2,2,2,0,0,1,1,6,19.2,.773,.000,.667,0.0,18.0,9.1,24.2,0.0,0.0,20.5,17.9,0.0,0.0,0.0,0.1,.219,0.0,2.8,2.0,4.9,0.0
Sharife Cooper,PG,20,ATL,5,0,11,1,4,.250,0,2,.000,1,2,.500,.250,0,0,0.0,0,0,0,4,0,0,1,0,2,3.5,.250,.500,.000,0.0,0.0,0.0,47.1,0.0,0.0,20.0,19.9,0.0,0.0,0.0,0.0,-0.149,0.0,-4.7,-5.1,-9.7,0.0
Petr Cornelie,PF,26,DEN,6,0,22,2,9,.222,0,5,.000,2,4,.500,.222,0,0,0.0,5,4,9,3,0,0,2,4,4,2.6,.222,.556,.000,25.1,20.1,22.6,18.5,0.0,0.0,18.2,22.5,0.0,-0.1,0.0,-0.1,-0.144,0.0,-9.2,-5.0,-14.2,-0.1
DeMarcus Cousins,C,31,MIL,3,0,44,7,18,.389,1,5,.200,6,13,.462,.417,10,12,.833,4,11,15,3,3,0,3,8,25,18.7,.537,.278,.667,9.7,25.1,17.6,10.1,3.3,0.0,11.4,25.6,0.0,0.1,0.1,0.2,.180,0.0,-4.0,3.1,-0.9,0.0
Robert Covington,PF,31,POR,25,25,663,61,155,.394,40,115,.348,21,40,.525,.523,3,3,1.000,13,103,116,29,26,25,27,53,165,9.1,.528,.742,.019,2.1,17.4,9.7,5.9,1.9,3.5,14.7,12.0,0.0,-0.1,0.5,0.4,.030,0.0,-2.4,0.5,-2.0,0.0
Torrey Craig,SF,31,IND,25,1,393,52,106,.491,14,51,.275,38,55,.691,.557,17,22,.773,30,52,82,22,11,7,15,41,135,13.6,.584,.481,.208,8.5,14.3,11.4,7.9,1.4,1.5,11.5,14.5,0.0,0.6,0.4,1.0,.122,0.0,-0.2,-0.1,-0.4,0.2
Jae Crowder,PF,31,PHO,24,24,671,75,194,.387,45,133,.338,30,61,.492,.503,27,35,.771,12,102,114,33,31,11,20,55,222,10.7,.530,.686,.180,1.9,15.5,8.9,6.4,2.2,1.4,8.7,14.8,0.0,0.2,1.1,1.3,.096,0.0,-1.6,1.0,-0.6,0.2
Jarrett Culver,SG,22,MEM,8,0,65,14,26,.538,3,9,.333,11,17,.647,.596,4,8,.500,2,9,11,11,3,0,2,1,35,22.2,.593,.346,.308,3.2,15.0,9.0,25.9,2.2,0.0,6.3,20.3,0.0,0.2,0.0,0.3,.189,0.0,2.6,-0.6,2.0,0.1
Cade Cunningham,PG,20,DET,18,18,570,100,264,.379,41,133,.308,59,131,.450,.456,27,32,.844,20,98,118,83,22,11,69,46,268,11.3,.482,.504,.121,3.5,20.2,11.2,25.7,1.9,1.8,19.9,26.1,0.0,-1.0,0.6,-0.4,-0.037,0.0,-2.2,-0.4,-2.6,-0.1
Seth Curry,SG,31,PHI,22,22,754,128,255,.502,47,116,.405,81,139,.583,.594,46,52,.885,11,53,64,58,19,3,38,52,349,14.6,.628,.455,.204,1.6,7.7,4.6,11.9,1.3,0.4,12.0,18.9,0.0,1.3,0.3,1.6,.101,0.0,0.6,-2.3,-1.7,0.1
Stephen Curry,PG,33,GSW,23,23,787,206,469,.439,126,303,.416,80,166,.482,.574,99,106,.934,14,115,129,150,41,11,71,41,637,25.8,.618,.646,.226,2.0,15.2,8.9,31.9,2.5,1.4,12.1,32.0,0.0,2.7,1.6,4.4,.266,0.0,8.0,1.0,9.0,2.2
Anthony Davis,C,28,LAL,24,24,858,230,439,.524,9,48,.188,221,391,.565,.534,109,151,.722,73,173,246,74,31,53,49,56,578,25.2,.572,.109,.344,9.1,21.0,15.2,14.7,1.7,5.6,8.8,27.5,0.0,2.1,1.3,3.4,.193,0.0,3.0,0.3,3.3,1.1
Ed Davis,C,32,CLE,9,2,77,7,10,.700,0,0,0.0,7,10,.700,.700,1,2,.500,4,25,29,1,2,4,3,9,15,12.0,.689,.000,.200,5.7,34.8,20.5,1.8,1.3,4.6,21.6,7.9,0.0,0.0,0.2,0.2,.137,0.0,-3.5,2.5,-1.0,0.0
Terence Davis,SG,24,SAC,16,5,259,50,127,.394,23,77,.299,27,50,.540,.484,11,15,.733,3,36,39,12,12,5,18,33,134,10.6,.501,.606,.118,1.2,14.6,7.9,7.3,2.2,1.6,11.9,24.9,0.0,-0.3,0.2,0.0,-0.006,0.0,-3.6,-0.2,-3.7,-0.1
Gabriel Deck,PF,26,OKC,6,0,45,6,12,.500,1,3,.333,5,9,.556,.542,0,0,0.0,1,4,5,3,1,0,2,2,13,8.8,.542,.250,.000,2.2,9.2,5.7,10.7,1.1,0.0,14.3,13.4,0.0,0.0,0.0,0.0,.023,0.0,-2.7,-2.9,-5.6,0.0
Dewayne Dedmon,C,32,MIA,25,7,392,53,96,.552,7,11,.636,46,85,.541,.589,28,36,.778,44,97,141,16,9,12,22,53,141,16.4,.630,.115,.375,12.8,27.4,20.2,6.1,1.1,3.4,16.4,15.1,0.0,0.8,0.6,1.4,.168,0.0,-1.1,0.0,-1.1,0.1
Sam Dekker,PF,27,TOR,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015,0.0,-8.6,-2.7,-11.3,0.0
DeMar DeRozan,PF,32,CHI,24,24,846,227,456,.498,20,60,.333,207,396,.523,.520,159,179,.888,15,112,127,98,22,9,49,55,633,23.5,.592,.132,.393,2.0,14.3,8.2,19.7,1.3,0.9,8.4,30.3,0.0,2.6,0.9,3.5,.201,0.0,3.8,-0.9,2.9,1.1
Hamidou Diallo,SG,23,DET,16,1,233,40,77,.519,4,15,.267,36,62,.581,.545,14,18,.778,15,30,45,11,10,7,11,27,98,15.2,.577,.195,.234,6.4,15.1,10.4,8.3,2.1,2.7,11.5,17.6,0.0,0.3,0.2,0.5,.101,0.0,-1.8,0.8,-0.9,0.1
Gorgui Dieng,C,32,ATL,21,0,177,19,45,.422,7,21,.333,12,24,.500,.500,9,14,.643,21,51,72,15,5,6,11,26,54,14.7,.528,.467,.311,13.0,30.2,21.8,11.2,1.4,3.1,17.7,15.4,0.0,0.2,0.2,0.4,.117,0.0,-2.0,0.2,-1.9,0.0
Spencer Dinwiddie,PG,28,WAS,21,21,623,97,246,.394,39,113,.345,58,133,.436,.474,49,56,.875,14,89,103,110,7,4,32,45,282,14.8,.521,.459,.228,2.5,14.8,8.9,27.0,0.6,0.5,10.6,21.8,0.0,0.8,0.4,1.2,.096,0.0,1.1,-1.3,-0.2,0.3
Luka Dončić,PG,22,DAL,19,19,662,179,403,.444,51,157,.325,128,246,.520,.507,76,110,.691,15,136,151,162,20,10,84,48,485,22.2,.537,.390,.273,2.3,23.4,12.3,45.9,1.5,1.3,15.7,36.0,0.0,0.6,0.7,1.3,.096,0.0,4.3,-0.3,4.0,1.0
Luguentz Dort,SF,22,OKC,22,22,717,130,300,.433,54,161,.335,76,139,.547,.523,67,78,.859,15,72,87,41,20,8,36,62,381,14.5,.570,.537,.260,2.1,10.4,6.2,9.9,1.4,1.1,9.7,22.3,0.0,0.8,0.4,1.2,.084,0.0,-0.7,-1.0,-1.7,0.1
Ayo Dosunmu,SG,22,CHI,24,1,413,59,119,.496,17,41,.415,42,78,.538,.567,10,17,.588,12,40,52,26,10,5,20,34,145,10.7,.573,.345,.143,3.2,10.5,6.9,8.8,1.2,1.1,13.7,15.6,0.0,0.2,0.4,0.6,.075,0.0,-1.8,-0.4,-2.3,0.0
Devon Dotson,PG,22,CHI,3,0,14,1,3,.333,0,2,.000,1,1,1.000,.333,2,2,1.000,0,5,5,3,0,0,1,2,4,11.5,.515,.667,.667,0.0,38.6,19.5,27.3,0.0,0.0,20.5,15.3,0.0,0.0,0.0,0.0,.109,0.0,-4.9,2.8,-2.1,0.0
Sekou Doumbouya,PF,21,LAL,2,0,16,5,8,.625,1,2,.500,4,6,.667,.688,3,4,.750,2,4,6,0,3,2,2,1,14,41.7,.717,.250,.500,13.4,26.1,19.8,0.0,8.9,11.4,17.0,31.3,0.0,0.0,0.1,0.1,.333,0.0,9.7,9.2,18.8,0.1
Jeff Dowtin,PG,24,GSW,3,0,10,2,4,.500,0,0,0.0,2,4,.500,.500,0,0,0.0,0,2,2,0,0,0,0,1,4,8.0,.500,.000,.000,0.0,20.8,10.9,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,.064,0.0,-9.2,-0.8,-9.9,0.0
PJ Dozier,SG,25,DEN,18,0,340,36,99,.364,15,48,.313,21,51,.412,.439,10,13,.769,14,49,63,29,11,6,13,33,97,9.5,.463,.485,.131,4.6,15.9,10.2,11.8,1.6,1.7,11.0,15.6,0.0,0.0,0.4,0.3,.046,0.0,-3.5,0.2,-3.3,-0.1
Goran Dragić,PG,35,TOR,5,2,90,13,34,.382,4,14,.286,9,20,.450,.441,10,10,1.000,2,12,14,9,5,1,1,8,40,17.0,.521,.412,.294,2.3,15.4,8.5,14.8,2.8,1.1,2.5,18.8,0.0,0.2,0.1,0.3,.166,0.0,-0.8,1.0,0.2,0.1
Andre Drummond,C,28,PHI,23,10,483,61,126,.484,0,1,.000,61,125,.488,.484,26,49,.531,76,159,235,47,22,27,40,61,148,18.4,.501,.008,.389,17.2,35.9,26.6,14.1,2.3,5.0,21.3,17.6,0.0,0.3,1.0,1.3,.132,0.0,-1.0,0.6,-0.4,0.2
Chris Duarte,SG,24,IND,24,18,710,124,296,.419,45,130,.346,79,166,.476,.495,22,31,.710,13,85,98,47,26,3,41,44,315,11.0,.509,.439,.105,2.0,12.9,7.5,10.0,1.8,0.4,11.7,21.5,0.0,-0.2,0.6,0.4,.027,0.0,-1.7,-1.2,-2.9,-0.2
Kevin Durant,PF,33,BRK,23,23,832,238,450,.529,40,106,.377,198,344,.576,.573,137,157,.873,12,165,177,124,15,16,69,37,653,25.6,.629,.236,.349,1.6,20.0,11.2,27.2,0.9,1.7,11.7,31.2,0.0,2.7,1.1,3.8,.217,0.0,6.1,0.4,6.5,1.8
Anthony Edwards,SG,20,MIN,24,24,877,193,456,.423,70,205,.341,123,251,.490,.500,70,88,.795,32,114,146,89,39,18,83,54,526,16.0,.532,.450,.193,3.6,14.1,8.6,17.2,2.2,2.0,14.4,27.4,0.0,0.3,1.1,1.4,.074,0.0,1.2,-0.6,0.6,0.6
Kessler Edwards,SF,21,BRK,2,0,12,3,6,.500,2,4,.500,1,2,.500,.667,0,0,0.0,1,2,3,0,0,0,1,0,8,18.6,.667,.667,.000,9.2,16.8,13.2,0.0,0.0,0.0,14.3,25.7,0.0,0.0,0.0,0.0,.074,0.0,6.0,-1.9,4.0,0.0
CJ Elleby,SF,21,POR,13,0,69,9,21,.429,3,11,.273,6,10,.600,.500,0,0,0.0,1,15,16,4,0,0,7,11,21,2.9,.500,.524,.000,1.6,24.4,12.8,8.2,0.0,0.0,25.0,17.6,0.0,-0.1,0.0,-0.1,-0.092,0.0,-7.9,-2.3,-10.1,-0.1
Wayne Ellington,SG,34,LAL,17,2,345,37,91,.407,34,85,.400,3,6,.500,.593,4,4,1.000,3,22,25,11,7,2,6,18,112,9.1,.604,.934,.044,0.9,6.7,3.8,4.3,1.0,0.5,6.1,12.2,0.0,0.4,0.2,0.5,.075,0.0,-0.5,-1.1,-1.6,0.0
Joel Embiid,C,27,PHI,14,14,463,104,237,.439,19,47,.404,85,190,.447,.479,108,140,.771,28,130,158,61,13,22,40,36,335,25.9,.561,.198,.591,6.6,30.6,18.6,22.4,1.4,4.3,11.8,33.1,0.0,1.0,0.7,1.8,.182,0.0,4.0,0.4,4.3,0.7
Drew Eubanks,C,24,SAS,22,8,318,44,87,.506,0,4,.000,44,83,.530,.506,35,44,.795,28,72,100,30,9,18,28,34,123,16.2,.578,.046,.506,9.2,24.1,16.6,12.6,1.4,5.0,20.8,18.1,0.0,0.3,0.5,0.8,.114,0.0,-2.5,0.7,-1.8,0.0
Tacko Fall,C,26,CLE,7,0,19,1,2,.500,0,0,0.0,1,2,.500,.500,1,4,.250,1,4,5,0,0,1,1,0,3,5.2,.399,.000,2.000,5.8,22.6,14.3,0.0,0.0,4.6,21.0,10.9,0.0,0.0,0.0,0.0,-0.022,0.0,-5.2,-1.4,-6.6,0.0
Derrick Favors,C,30,OKC,17,8,284,44,88,.500,2,8,.250,42,80,.525,.511,8,14,.571,25,60,85,7,8,3,5,20,98,14.2,.520,.091,.159,8.8,22.0,15.2,4.1,1.4,1.0,5.0,15.1,0.0,0.3,0.3,0.6,.097,0.0,-1.9,-1.6,-3.5,-0.1
Bruno Fernando,C,23,BOS,8,0,18,2,3,.667,0,0,0.0,2,3,.667,.667,0,0,0.0,1,1,2,1,0,1,3,3,4,2.4,.667,.000,.000,5.9,6.0,6.0,8.1,0.0,5.3,50.0,14.7,0.0,0.0,0.0,0.0,-0.089,0.0,-11.8,-0.3,-12.1,0.0
Dorian Finney-Smith,PF,28,DAL,23,23,724,79,182,.434,44,116,.379,35,66,.530,.555,14,25,.560,40,62,102,36,36,11,20,52,216,12.3,.560,.637,.137,5.6,9.7,7.6,7.2,2.5,1.3,9.4,13.1,0.0,0.8,0.7,1.5,.099,0.0,-0.3,0.4,0.1,0.4
Malik Fitts,PF,24,UTA,3,0,7,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,3.4,0.0,0.0,0.0,0.0,29.6,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.051,0.0,-3.7,0.0,-3.7,0.0
Malachi Flynn,PG,23,TOR,17,0,139,17,50,.340,6,24,.250,11,26,.423,.400,3,5,.600,5,17,22,15,8,2,5,14,43,10.0,.412,.480,.100,3.7,14.1,8.6,15.4,2.9,1.4,8.7,17.7,0.0,-0.1,0.1,0.1,.034,0.0,-3.8,1.1,-2.8,0.0
Bryn Forbes,SG,28,SAS,23,0,332,62,132,.470,27,66,.409,35,66,.530,.572,13,16,.813,2,26,28,16,10,1,20,18,164,11.9,.590,.500,.121,0.6,8.3,4.4,6.9,1.4,0.3,12.6,20.5,0.0,0.1,0.2,0.3,.044,0.0,-1.4,-1.3,-2.7,-0.1
Trent Forrest,PG,23,UTA,16,0,122,9,15,.600,0,2,.000,9,13,.692,.600,7,8,.875,4,14,18,10,4,0,10,9,25,8.1,.675,.133,.533,3.8,11.9,8.1,10.6,1.6,0.0,35.1,10.2,0.0,0.0,0.1,0.2,.063,0.0,-4.6,0.9,-3.7,-0.1
Evan Fournier,SG,29,NYK,24,24,685,114,275,.415,62,161,.385,52,114,.456,.527,23,30,.767,11,56,67,41,23,4,32,40,313,12.1,.543,.585,.109,1.7,8.7,5.2,9.4,1.7,0.5,10.0,20.5,0.0,0.4,0.3,0.7,.052,0.0,-0.8,-1.5,-2.3,-0.1
De'Aaron Fox,PG,24,SAC,24,24,836,180,420,.429,27,103,.262,153,317,.483,.461,96,131,.733,13,76,89,132,32,12,71,67,483,15.2,.506,.245,.312,1.6,9.5,5.6,25.7,1.8,1.2,12.9,27.9,0.0,0.2,0.5,0.7,.039,0.0,-0.8,-1.4,-2.2,0.0
Enes Freedom,C,29,BOS,14,0,174,22,50,.440,1,3,.333,21,47,.447,.450,15,18,.833,30,52,82,3,3,9,9,18,60,17.3,.518,.060,.360,18.3,32.3,25.2,2.6,0.9,4.9,13.4,16.9,0.0,0.2,0.3,0.5,.148,0.0,-1.3,-1.4,-2.7,0.0
Daniel Gafford,C,23,WAS,22,22,459,86,129,.667,0,0,0.0,86,129,.667,.667,27,39,.692,44,88,132,21,12,42,24,58,199,21.6,.681,.000,.302,10.8,19.8,15.5,7.3,1.3,7.5,14.1,16.6,0.0,1.2,0.8,1.9,.201,0.0,0.5,2.1,2.6,0.5
Danilo Gallinari,PF,33,ATL,22,0,472,67,161,.416,32,82,.390,35,79,.443,.516,40,43,.930,12,76,88,31,11,5,10,25,206,15.3,.572,.509,.267,2.8,16.9,10.0,9.1,1.2,1.0,5.3,17.6,0.0,1.0,0.3,1.3,.129,0.0,1.3,-0.7,0.6,0.3
Darius Garland,PG,22,CLE,23,23,796,165,354,.466,62,159,.390,103,195,.528,.554,51,58,.879,11,56,67,167,28,2,91,41,443,16.9,.584,.449,.164,1.5,7.5,4.6,35.2,1.7,0.2,19.3,25.8,0.0,0.9,0.8,1.8,.107,0.0,2.2,-1.0,1.2,0.6
Marcus Garrett,SG,23,MIA,4,0,10,0,1,.000,0,0,0.0,0,1,.000,.000,0,0,0.0,0,1,1,2,0,0,0,1,0,2.2,.000,.000,.000,0.0,11.1,5.6,24.7,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,.008,0.0,-6.5,0.8,-5.7,0.0
Usman Garuba,PF,19,HOU,7,0,45,5,14,.357,2,8,.250,3,6,.500,.429,0,0,0.0,6,12,18,6,2,4,2,4,12,17.4,.429,.571,.000,14.3,27.9,21.2,19.7,2.1,8.3,12.5,15.0,0.0,0.0,0.1,0.1,.126,0.0,0.6,1.8,2.4,0.0
Luka Garza,C,23,DET,14,2,140,18,43,.419,5,15,.333,13,28,.464,.477,11,14,.786,14,17,31,7,6,1,5,24,52,12.9,.529,.349,.326,10.0,14.3,12.0,8.2,2.1,0.6,9.2,16.6,0.0,0.2,0.1,0.3,.099,0.0,-2.5,-0.7,-3.3,0.0
Rudy Gay,PF,35,UTA,9,0,169,33,67,.493,22,46,.478,11,21,.524,.657,9,12,.750,8,38,46,12,2,2,8,14,97,20.4,.671,.687,.179,5.5,23.3,14.9,10.9,0.6,1.0,10.0,20.7,0.0,0.6,0.2,0.8,.217,0.0,5.0,-0.7,4.2,0.3
Paul George,SF,31,LAC,24,24,861,220,521,.422,64,201,.318,156,320,.488,.484,95,108,.880,10,165,175,130,45,9,102,62,599,18.0,.527,.386,.207,1.3,19.9,10.8,27.2,2.5,0.9,15.2,33.9,0.0,-0.3,1.6,1.3,.071,0.0,1.7,0.7,2.4,1.0
Taj Gibson,C,36,NYK,11,0,205,15,31,.484,0,3,.000,15,28,.536,.484,7,9,.778,21,31,52,8,4,14,11,36,37,9.6,.529,.097,.290,10.9,16.1,13.5,5.4,1.0,6.4,23.9,9.8,0.0,0.1,0.2,0.3,.072,0.0,-5.5,0.9,-4.6,-0.1
Josh Giddey,SG,19,OKC,21,21,617,91,226,.403,18,71,.254,73,155,.471,.442,19,28,.679,31,112,143,121,21,13,59,37,219,12.9,.459,.314,.124,5.0,18.9,11.8,32.2,1.7,2.0,19.8,20.8,0.0,-0.5,0.7,0.2,.012,0.0,-2.1,-0.1,-2.2,0.0
Shai Gilgeous-Alexander,PG,23,OKC,20,20,701,149,361,.413,39,132,.295,110,229,.480,.467,96,122,.787,11,87,98,98,20,13,49,42,433,17.5,.522,.366,.338,1.6,12.9,7.1,25.7,1.4,1.8,10.6,28.5,0.0,0.5,0.5,1.1,.073,0.0,1.5,-0.8,0.6,0.5
Anthony Gill,PF,29,WAS,9,0,43,7,10,.700,3,3,1.000,4,7,.571,.850,5,6,.833,4,9,13,1,0,2,1,3,22,25.3,.870,.300,.600,10.5,21.6,16.3,3.6,0.0,3.8,7.3,14.2,0.0,0.2,0.0,0.3,.299,0.0,6.4,0.8,7.2,0.1
Rudy Gobert,C,29,UTA,23,23,734,122,167,.731,0,1,.000,122,166,.735,.731,98,145,.676,69,268,337,23,22,52,45,59,342,24.8,.741,.006,.868,10.9,37.8,25.1,4.6,1.5,6.0,16.3,16.4,0.0,2.5,1.7,4.1,.271,0.0,2.6,2.0,4.6,1.2
Aaron Gordon,PF,26,DEN,23,23,737,123,239,.515,24,68,.353,99,171,.579,.565,48,66,.727,43,94,137,51,14,17,37,49,318,15.7,.593,.285,.276,6.4,14.1,10.3,10.5,1.0,2.2,12.1,18.6,0.0,1.2,0.6,1.8,.117,0.0,0.1,-0.7,-0.7,0.2
Eric Gordon,SG,33,HOU,20,9,594,100,214,.467,46,106,.434,54,108,.500,.575,35,49,.714,3,35,38,55,12,12,48,20,281,12.3,.596,.495,.229,0.5,6.2,3.4,15.0,1.0,1.9,16.9,20.1,0.0,0.3,0.3,0.5,.043,0.0,-0.2,-1.9,-2.1,0.0
Devonte' Graham,PG,26,NOP,23,23,711,107,285,.375,63,182,.346,44,103,.427,.486,38,48,.792,14,41,55,102,28,4,41,35,315,13.0,.515,.639,.168,2.0,6.4,4.2,22.3,1.9,0.5,11.8,20.8,0.0,0.5,0.2,0.7,.047,0.0,0.0,-2.3,-2.2,0.0
Jerami Grant,PF,27,DET,22,22,730,147,352,.418,39,119,.328,108,233,.464,.473,110,131,.840,21,85,106,57,25,22,45,47,443,17.3,.541,.338,.372,2.9,13.7,7.9,14.4,1.7,2.7,9.9,26.7,0.0,0.7,0.6,1.3,.087,0.0,1.1,-0.4,0.8,0.5
Danny Green,SF,34,PHI,17,14,410,47,102,.461,36,86,.419,11,16,.688,.637,4,4,1.000,11,31,42,19,24,14,18,33,134,13.3,.646,.843,.039,2.9,8.2,5.6,6.6,2.9,3.1,14.8,13.4,0.0,0.4,0.4,0.9,.101,0.0,0.6,0.8,1.4,0.3
Draymond Green,PF,31,GSW,23,23,694,76,135,.563,7,22,.318,69,113,.611,.589,29,49,.592,27,156,183,174,32,23,72,60,188,15.8,.600,.163,.363,4.4,23.3,14.3,33.4,2.2,3.2,31.5,14.2,0.0,0.9,1.7,2.6,.180,0.0,-0.2,4.3,4.1,1.1
Jalen Green,SG,19,HOU,18,18,555,87,228,.382,32,115,.278,55,113,.487,.452,46,57,.807,7,49,56,42,11,4,49,28,252,8.1,.498,.504,.250,1.4,9.2,5.3,12.0,0.9,0.7,16.2,23.0,0.0,-0.7,0.3,-0.4,-0.037,0.0,-3.2,-2.6,-5.8,-0.5
JaMychal Green,PF,31,DEN,22,4,324,46,113,.407,10,51,.196,36,62,.581,.451,14,18,.778,20,55,75,19,18,10,25,51,116,10.4,.480,.451,.159,6.8,18.7,12.8,8.6,2.8,2.9,17.1,20.2,0.0,-0.4,0.5,0.2,.023,0.0,-5.2,0.4,-4.8,-0.2
Javonte Green,SF,28,CHI,23,12,474,48,97,.495,10,26,.385,38,71,.535,.546,18,24,.750,35,63,98,16,19,8,16,45,124,11.6,.576,.268,.247,8.1,14.4,11.3,4.5,2.0,1.5,12.9,11.4,0.0,0.5,0.6,1.2,.119,0.0,-1.7,-0.4,-2.1,0.0
